time,top_edge_sensor_1,top_edge_sensor_2,top_sensor_1,top_sensor_2,side_mid_sensor_1,side_mid_sensor_2,side_upper_sensor_1,side_upper_sensor_2
0,0,0,0,0,0,0,0,0
3.04356E-08,0,0,0,0,0,0,0,0
6.08712E-08,0,0,0,0,0,0,0,0
9.13068E-08,0,0,0,0,0,0,0,0
1.21742E-07,0,0,0,0,0,0,0,0
1.52178E-07,0,0,0,0,0,0,0,0
1.82614E-07,0,0,0,0,0,0,0,0
2.13049E-07,0,0,0,0,0,0,0,0
2.43485E-07,0,0,0,0,0,0,0,0
2.7392E-07,0,0,0,0,0,0,0,0
3.04356E-07,0,0,0,0,0,0,0,0
3.34791E-07,0,0,0,0,0,0,0,0
3.65227E-07,0,0,0,0,0,0,0,0
4.0175E-07,0,0,0,0,0,0,0,0
4.38507E-07,0,0,0,0,0,0,0,0
4.75204E-07,0,0,0,0,0,0,0,0
5.11853E-07,0,0,0,0,0,0,0,0
5.48463E-07,0,0,0,0,0,0,0,0
5.85041E-07,0,0,0,0,0,0,0,0
6.21591E-07,0,0,0,0,0,0,0,0
6.5812E-07,0,0,0,0,0,0,0,0
6.94628E-07,0,0,0,0,0,0,0,0
7.3112E-07,0,0,0,0,0,0,0,0
7.67596E-07,0,0,0,0,0,0,0,0
8.04059E-07,0,0,0,0,0,0,0,0
8.4051E-07,0,0,0,0,0,0,0,0
8.76949E-07,0,0,0,0,0,0,0,0
9.13378E-07,0,0,0,0,0,0,0,0
9.49798E-07,0,0,0,0,0,0,0,0
9.86209E-07,0,0,0,0,0,0,0,0
1.02261E-06,0,0,0,0,0,0,0,0
1.05901E-06,0,0,0,0,0,0,0,0
1.09539E-06,0,0,0,0,0,0,0,0
1.13177E-06,0,0,0,0,0,0,0,0
1.16814E-06,0,0,0,0,0,0,0,0
1.20451E-06,0,0,0,0,0,0,0,0
1.24087E-06,0,0,0,0,0,0,0,0
1.27723E-06,0,0,0,0,0,0,0,0
1.31357E-06,0,0,0,0,0,0,0,0
1.34992E-06,0,0,0,0,0,0,0,0
1.38625E-06,0,0,0,0,0,0,0,0
1.42259E-06,0,0,0,0,0,0,0,0
1.45891E-06,0,0,0,0,0,0,0,0
1.49524E-06,0,0,0,0,0,0,0,0
1.53156E-06,0,0,0,0,0,0,0,0
1.56787E-06,0,0,0,0,0,0,0,0
1.60418E-06,0,0,0,0,0,0,0,0
1.64048E-06,0,0,0,0,0,0,0,0
1.67678E-06,0,0,0,0,0,0,0,0
1.71308E-06,0,0,0,0,0,0,0,0
1.74937E-06,0,0,0,0,0,0,0,0
1.78566E-06,0,0,0,0,0,0,0,0
1.82195E-06,0,0,0,0,0,0,0,0
1.85823E-06,0,0,0,0,0,0,0,0
1.89451E-06,0,0,0,0,0,0,0,0
1.93078E-06,0,0,0,0,0,0,0,0
1.96706E-06,0,0,0,0,0,0,0,0
2.00332E-06,0,0,0,0,0,0,0,0
2.03959E-06,0,0,0,0,0,0,0,0
2.07585E-06,0,0,0,0,0,0,0,0
2.11211E-06,0,0,0,0,0,0,0,0
2.14837E-06,0,0,0,0,0,0,0,0
2.18462E-06,0,0,0,0,0,0,0,0
2.22087E-06,0,0,0,0,0,0,0,0
2.25712E-06,0,0,0,0,0,0,0,0
2.29336E-06,0,0,0,0,0,0,0,0
2.3296E-06,0,0,0,0,0,0,0,0
2.36584E-06,0,0,0,0,0,0,0,0
2.40208E-06,0,0,2.40374E-23,0,0,0,0,0
2.43831E-06,0,0,7.14742E-22,0,0,0,0,0
2.47454E-06,0,0,9.87727E-21,0,0,0,0,0
2.51077E-06,-7.26595E-24,0,8.38396E-20,0,-4.60673E-31,0,1.28501E-24,0
2.547E-06,-2.15735E-22,0,4.85492E-19,0,-1.21765E-29,0,4.19239E-23,0
2.58322E-06,-2.96692E-21,0,2.00544E-18,0,-1.21164E-28,0,6.3912E-22,0
2.61944E-06,-2.49312E-20,0,5.94499E-18,0,-3.53851E-28,0,6.02026E-21,0
2.65566E-06,-1.4171E-19,0,1.20798E-17,0,5.08083E-27,0,3.89531E-20,0
2.69188E-06,-5.65915E-19,0,1.35027E-17,0,7.80146E-26,0,1.81297E-19,0
2.72809E-06,-1.57128E-18,0,-5.77598E-18,0,5.86593E-25,0,6.1244E-19,0
2.7643E-06,-2.73346E-18,0,-5.56853E-17,0,2.98568E-24,0,1.44539E-18,0
2.80051E-06,-1.36385E-18,0,-1.06623E-16,0,1.11249E-23,0,1.98718E-18,0
2.83672E-06,7.37334E-18,0,-8.47653E-17,0,3.07224E-23,0,-3.39873E-19,0
2.87292E-06,2.36656E-17,0,4.66581E-17,0,5.97029E-23,0,-9.05402E-18,0
2.90913E-06,3.16051E-17,0,1.8514E-16,0,6.17182E-23,0,-2.22092E-17,0
2.94533E-06,3.32777E-18,0,1.60404E-16,0,-6.2264E-23,0,-2.39036E-17,0
2.98153E-06,-6.30185E-17,0,-7.73525E-18,0,-4.34778E-22,0,9.19845E-18,0
3.01772E-06,-1.08357E-16,0,-4.56336E-17,0,-1.01324E-21,0,7.3452E-17,0
3.05392E-06,-6.09392E-17,0,1.88711E-16,0,-1.33739E-21,0,1.08325E-16,0
3.09011E-06,5.11068E-17,0,3.85124E-16,0,-6.13916E-22,0,4.02321E-17,0
3.1263E-06,1.01846E-16,0,1.66659E-16,0,1.52002E-21,0,-1.05698E-16,0
3.16249E-06,5.23127E-17,0,-3.20639E-16,0,4.23104E-21,0,-1.78857E-16,0
3.19868E-06,3.41843E-17,0,-6.4613E-16,0,6.37987E-21,0,-7.47601E-17,0
3.23486E-06,1.12692E-16,0,-7.80521E-16,0,8.81735E-21,0,8.69935E-17,0
3.27104E-06,1.17689E-16,0,-9.32671E-16,0,1.32051E-20,0,8.92695E-17,0
3.30722E-06,-3.82333E-17,0,-8.60661E-16,0,1.37727E-20,0,-6.97778E-17,0
3.3434E-06,-8.72631E-17,0,-1.44185E-16,0,-7.14719E-21,0,-1.70914E-16,0
3.37958E-06,1.24183E-16,0,9.51433E-16,0,-5.96106E-20,0,-1.10054E-16,0
3.41575E-06,1.54689E-16,0,1.7072E-15,0,-1.12795E-19,0,1.61067E-17,0
3.45193E-06,-4.02805E-16,0,1.93267E-15,0,-1.07185E-19,0,2.14739E-16,0
3.4881E-06,-1.05876E-15,0,1.95947E-15,0,-3.58985E-20,0,5.96383E-16,0
3.52427E-06,-9.87658E-16,0,1.84604E-15,0,2.24913E-20,0,9.09417E-16,0
3.56044E-06,-2.05112E-16,0,1.24629E-15,0,5.06907E-20,0,5.74545E-16,0
3.5966E-06,6.57186E-16,0,-1.09743E-16,0,2.40425E-19,0,-4.72965E-16,0
3.63277E-06,1.37498E-15,0,-2.15364E-15,0,7.44017E-19,0,-1.4368E-15,0
3.66893E-06,1.965E-15,0,-4.39381E-15,0,1.17733E-18,0,-1.56752E-15,0
3.70509E-06,1.94565E-15,0,-5.94641E-15,0,8.10596E-19,0,-1.00632E-15,0
3.74125E-06,8.65373E-16,0,-5.97273E-15,0,-2.82094E-19,0,-3.41826E-16,0
3.77741E-06,-7.2244E-16,0,-4.14888E-15,0,-7.911E-19,0,2.07526E-16,0
3.81356E-06,-1.76401E-15,0,-6.797E-16,0,1.2638E-19,0,7.22669E-16,0
3.84972E-06,-1.99327E-15,0,3.79638E-15,0,1.42694E-18,0,1.14873E-15,0
3.88587E-06,-2.02409E-15,0,8.17023E-15,0,2.8613E-18,0,1.46015E-15,0
3.92202E-06,-2.33582E-15,0,1.10791E-14,0,9.23498E-18,0,1.91373E-15,0
3.95817E-06,-2.66774E-15,0,1.14115E-14,0,2.82873E-17,0,2.55428E-15,0
3.99432E-06,-2.28334E-15,0,8.70218E-15,0,6.29314E-17,0,2.63868E-15,0
4.03046E-06,-4.92843E-16,0,3.3108E-15,0,1.11968E-16,0,1.14587E-15,0
4.06661E-06,2.88875E-15,0,-3.59449E-15,0,1.84754E-16,0,-2.0038E-15,0
4.10275E-06,7.09813E-15,0,-1.03064E-14,0,3.09719E-16,0,-5.50422E-15,0
4.13889E-06,1.03351E-14,0,-1.49631E-14,0,5.19898E-16,0,-7.47637E-15,0
4.17503E-06,1.05639E-14,0,-1.58976E-14,0,8.40164E-16,0,-6.58402E-15,0
4.21117E-06,6.89521E-15,0,-1.20728E-14,8.39894E-30,1.31198E-15,0,-2.58428E-15,0
4.24731E-06,4.04991E-16,0,-3.63084E-15,3.60437E-28,2.03222E-15,0,3.65314E-15,0
4.28344E-06,-6.24858E-15,0,7.75462E-15,7.35551E-27,3.14279E-15,0,1.04523E-14,0
4.31958E-06,-9.97275E-15,-2.46479E-30,1.91188E-14,9.48294E-26,4.77886E-15,0,1.60308E-14,5.15353E-31
4.35571E-06,-8.4555E-15,-1.08035E-28,2.7152E-14,8.63406E-25,7.06722E-15,0,1.93616E-14,2.04823E-29
4.39184E-06,-1.00368E-15,-2.20337E-27,2.94558E-14,5.87107E-24,1.01969E-14,0,2.05294E-14,4.46939E-28
4.42797E-06,1.13737E-14,-2.82944E-26,2.54064E-14,3.06754E-23,1.44458E-14,0,2.03331E-14,6.18733E-27
4.4641E-06,2.67042E-14,-2.55839E-25,1.63065E-14,1.24241E-22,2.0091E-14,0,1.9733E-14,6.06849E-26
4.50023E-06,4.30057E-14,-1.72032E-24,5.08896E-15,3.84881E-22,2.73338E-14,-2.07894E-34,1.98226E-14,4.46295E-25
4.53635E-06,5.87394E-14,-8.82944E-24,-4.24784E-15,8.61034E-22,3.63749E-14,-1.14457E-30,2.22423E-14,2.53496E-24
4.57248E-06,7.27676E-14,-3.47299E-23,-7.73699E-15,1.10633E-21,4.75285E-14,-4.62423E-30,2.93572E-14,1.12427E-23
4.6086E-06,8.43661E-14,-1.02114E-22,-3.08963E-15,-6.02216E-22,6.11568E-14,-1.45993E-29,4.37063E-14,3.85883E-23
4.64472E-06,9.35444E-14,-2.0374E-22,8.95116E-15,-7.08585E-21,7.74899E-14,-3.62831E-29,6.68456E-14,9.80231E-23
4.68084E-06,1.01425E-13,-1.60129E-22,2.45594E-14,-1.80965E-20,9.66016E-14,-5.77926E-29,9.82084E-14,1.5646E-22
4.71696E-06,1.10408E-13,5.76969E-22,3.81025E-14,-2.15201E-20,1.18556E-13,-1.88731E-29,1.34712E-13,8.93251E-24
4.75308E-06,1.23955E-13,2.68246E-21,4.39088E-14,8.68082E-21,1.43416E-13,1.95477E-28,1.71516E-13,-8.21106E-22
4.78919E-06,1.4574E-13,5.34657E-21,3.79351E-14,8.46164E-20,1.70997E-13,6.24712E-28,2.03732E-13,-2.68402E-21
4.82531E-06,1.78164E-13,3.60827E-21,1.92429E-14,1.48088E-19,2.00701E-13,9.1978E-28,2.28323E-13,-4.28433E-21
4.86142E-06,2.20846E-13,-1.06514E-20,-9.05865E-15,6.40849E-20,2.31649E-13,2.46348E-28,2.45286E-13,-8.51397E-22
4.89754E-06,2.69984E-13,-3.65343E-20,-4.01358E-14,-2.27233E-19,2.62896E-13,-1.76465E-27,2.5753E-13,1.35999E-20
4.93365E-06,3.18928E-13,-4.53475E-20,-6.53246E-14,-4.79645E-19,2.93388E-13,-3.23204E-27,2.69509E-13,3.46644E-20
4.96976E-06,3.59744E-13,1.16255E-20,-7.69916E-14,-2.21674E-19,3.21818E-13,-6.54398E-28,2.85379E-13,3.34452E-20
