Event,Time
1,49.52
4,57.457
6,62.433
8,68.089
11,74.725
13,80.414
15,242.618
17,254.977
20,268.433
23,276.542
25,285.197
28,291.846
30,295.296
32,298.092
35,302.338
38,308.092
40,311.434
42,314.264
44,317.72
47,322.648
49,335.094
51,338.31
53,341.531
55,345.329
57,348.688
59,352.472
61,355.645
63,358.847
65,362.099
68,367.286
70,371.244
73,385.436
76,390.271
78,394.328
82,397.776
84,400.873
86,405.369
88,410.359
91,414.597
94,419.659
96,424.52
98,441.507
101,447.047
103,449.788
105,452.5
107,455.386
109,459.609
112,462.322
115,465.55
118,470.495
121,473.435
124,476.752
126,486.657
129,497.276
132,502.63
134,507.735
136,512.234
138,516.893
141,521.465
144,526.543
147,530.007
150,532.515
152,538.21
154,547.541
156,552.069
159,559.917
162,568.777
164,572.18
166,574.622
169,577.432
171,580.112
173,582.644
175,585.633
177,589.16
179,592.088
181,594.715
183,597.419
185,608.893
187,619.767
189,623.461
191,628.517
193,632.535
195,636.661
197,641.535
199,644.8
201,648.931
203,653.665
206,657.661
209,661.808
211,673.514
213,684.056
215,688.326
217,692.738
220,698.372
222,703.514
224,708.722
226,713.763
228,717.852
230,722.062
233,725.214
235,728.421
