Event,Time
2,7.452
4,12.451
5,17.535
7,21.506
9,25.391
11,158.168
12,170.96
14,174.91
15,179.053
16,183.111
17,186.915
19,190.572
20,194.682
21,198.462
22,202.496
23,206.47
25,210.155
27,213.823
28,217.564
30,221.805
31,226.032
33,233.451
34,237.658
36,242.005
38,247.294
39,252.633
40,256.539
41,260.292
43,263.997
44,267.753
45,270.977
46,275.015
47,278.55
48,282.325
49,291.507
51,295.359
53,299.219
55,303.104
56,307.029
57,311.854
58,316.114
59,319.42
60,322.979
62,327.996
64,332.373
66,335.944
67,340.683
68,350.644
70,354.274
72,357.623
73,361.022
74,364.705
75,368.917
76,373.096
77,376.211
78,380.424
80,383.981
82,387.212
83,390.493
85,394.215
86,397.902
88,409.339
89,414.897
90,419.676
92,424.715
94,429.651
95,433.102
96,436.254
98,439.186
99,442.399
100,445.246
102,448.496
104,452.487
105,456.123
107,461.138
108,471.467
110,479.735
111,485.429
113,492.638
114,497.964
115,504.443
116,509.693
117,513.772
119,517.427
121,520.959
123,523.938
