Event,Time
1,3.012
3,10.486
5,17.001
7,23.018
10,30.305
12,37.496
14,43.565
16,61.604
18,66.747
20,71.542
22,76.737
24,83.196
27,91.873
29,95.622
31,98.512
33,101.992
36,105.02
38,115.013
40,117.36
42,120.175
44,122.272
48,125.752
50,128.041
52,131.268
54,135.786
57,141.487
59,144.288
61,147.294
64,150.777
66,154.278
68,156.812
70,159.377
73,162.872
76,167.555
78,171.377
80,173.982
82,177.487
85,188.083
87,191.165
89,194.661
91,198.204
93,201.117
95,204.396
97,206.978
99,209.382
103,213.862
105,217.667
107,226.627
109,230.067
111,236.042
114,239.289
116,247.407
118,254.109
120,257.824
122,265.538
124,269.476
126,272.923
128,277.122
129,282.307
131,296.152
133,299.793
135,304.353
137,308.373
139,312.35
141,315.281
144,318.138
146,321.039
149,324.295
151,327.966
153,338.104
156,341.349
158,343.981
160,346.846
162,350.71
164,353.296
166,356.923
168,359.387
170,362.848
172,367.633
174,382.173
176,385.062
178,387.833
180,390.837
181,393.644
183,396.224
186,399.623
188,402.317
191,412.587
194,416.991
196,421.274
199,424.994
201,433.721
204,444.217
207,451.359
209,459.561
211,467.75
213,476.285
215,485.784
217,490.676
219,497.348
221,501.105
223,505.742
225,514.277
227,517.805
229,523.311
232,531.61
234,535.195
236,538.661
239,539.695
241,547.336
244,550.944
246,555.612
249,561.608
