Event,Time
2,7.907
4,13.848
5,19.788
6,26.671
8,33.69
10,39.365
12,45.322
13,51.029
15,56.643
17,61.815
18,200.898
20,207.052
22,212.196
23,216.634
25,220.13
26,223.606
27,229.383
28,235.782
30,243.519
32,249.843
34,253.534
36,257.755
38,263.895
39,270.225
41,274.96
42,284.869
44,290.207
46,295.298
48,299.729
50,304.435
52,308.375
54,313.704
57,324.897
59,328.732
61,332.422
62,335.793
64,339.469
66,344.241
67,351.537
68,366.462
70,370.517
72,374.874
73,379.707
75,383.984
77,387.6
79,391.804
81,395.746
83,399.816
84,404.212
86,408.578
87,413.574
89,416.82
91,421.773
93,425.197
95,433.612
97,437.267
99,442.412
101,449.237
103,452.773
105,456.397
107,460.196
108,464.801
110,472.82
112,481.073
