Event No.,Time,X,Y,Z,Arr Time 1
1,0.081,,,,NA
2,7.907,,,,99
3,7.909,,,,81.1
4,13.848,,,,79.5
5,19.788,,,,96.7
6,26.671,,,,97.8
7,26.674,,,,81.4
8,33.69,,,,79.9
9,33.693,,,,92.8
10,39.365,,,,98.7
11,39.367,,,,81.6
12,45.322,,,,96.5
13,51.029,,,,99.1
14,51.031,,,,81.5
15,56.643,,,,98.4
16,56.646,,,,80.9
17,61.815,,,,93.9
18,200.898,,,,98.8
19,200.9,,,,39.1
20,207.052,,,,80.5
21,207.054,,,,85.3
22,212.196,,,,82
23,216.634,,,,96.7
24,216.636,,,,52.8
25,220.13,,,,97
26,223.606,,,,79.1
27,229.383,,,,96.8
28,235.782,,,,98.6
29,235.784,,,,81.3
30,243.519,,,,98.4
31,243.521,,,,13.9
32,249.843,,,,98
33,249.845,,,,80.1
34,253.534,,,,98.2
35,253.536,,,,81.1
36,257.755,,,,78.6
37,257.757,,,,80.1
38,263.895,,,,96.5
39,270.225,,,,92.6
40,270.227,,,,92.9
41,274.96,,,,96.8
42,284.869,,,,98.5
43,284.871,,,,35.8
44,290.207,,,,98.3
45,290.209,,,,28.6
46,295.298,,,,98.7
47,295.3,,,,77.7
48,299.729,,,,98.5
49,299.73,,,,73.3
50,304.435,,,,98.6
51,304.437,,,,81.9
52,308.375,,,,78.6
53,308.377,,,,80.5
54,313.704,,,,98.7
55,313.706,,,,24.4
56,319.784,,,,68
57,324.897,,,,98.5
58,324.899,,,,82.2
59,328.732,,,,98.1
60,328.734,,,,80.6
61,332.422,,,,79.7
62,335.793,,,,98
63,335.796,,,,80.8
64,339.469,,,,98.2
65,339.471,,,,82.9
66,344.241,,,,82.1
67,351.537,,,,89.4
68,366.462,,,,98.2
69,366.464,,,,82.9
70,370.517,,,,98.9
71,370.519,,,,81
72,374.874,,,,79.4
73,379.707,,,,98.4
74,379.709,,,,82.6
75,383.984,,,,98.7
76,383.986,,,,81.2
77,387.6,,,,98.4
78,387.602,,,,82.5
79,391.804,,,,98.5
80,391.806,,,,80.9
81,395.746,,,,99.1
82,395.749,,,,81.1
83,399.816,,,,79.7
84,404.212,,,,96.5
85,404.214,,,,31.5
86,408.578,,,,79.3
87,413.574,,,,97.9
88,413.576,,,,87.5
89,416.82,,,,98
90,416.822,,,,24
91,421.773,,,,80.4
92,421.775,,,,84.9
93,425.197,,,,94.1
94,425.199,,,,27.8
95,433.612,,,,98.1
96,433.614,,,,81.5
97,437.267,,,,97.9
98,437.269,,,,82.3
99,442.412,,,,98.5
100,442.414,,,,34.3
101,449.237,,,,79.5
102,449.239,,,,80.8
103,452.773,,,,98.2
104,452.775,,,,60.6
105,456.397,,,,79.2
106,456.399,,,,89.2
107,460.196,,,,77.6
108,464.801,,,,95.4
109,464.804,,,,89.4
110,472.82,,,,98.3
111,472.822,,,,83.2
112,481.073,,,,99
