Event No.	Time	X	Y	Z	Arr Time 1
1	8.322				62.9
2	8.325				71.0
3	15.359				63.1
4	15.361				70.9
5	20.758				63.0
6	20.760				9.9
7	25.832				63.5
8	25.836				12.1
9	33.716				62.9
10	33.718				48.3
11	38.963				61.8
12	44.245				63.4
13	44.247				29.5
14	48.792				63.1
15	48.794				101.1
16	72.306				62.9
17	72.309				101.5
18	75.976				63.6
19	75.978				89.3
20	79.901				62.8
21	79.903				2.8
22	84.153				63.4
23	84.155				98.6
24	87.786				62.9
25	87.790				11.3
26	91.467				62.9
27	91.469				10.9
28	97.172				63.0
29	97.174				9.7
30	103.430				63.2
31	109.119				64.1
32	109.121				10.6
33	115.116				29.7
34	115.117				89.2
35	123.648				63.0
36	123.650				89.1
37	129.191				63.4
38	136.735				62.2
39	136.737				2.5
40	141.055				63.3
41	141.058				89.0
42	147.367				63.3
43	147.369				92.7
44	151.779				63.2
45	151.781				97.5
46	157.134				63.2
47	162.486				101.2
48	162.488				73.9
49	168.094				63.3
50	168.097				29.6
51	171.755				63.3
52	171.757				65.0
53	177.127				63.6
54	177.129				88.9
55	182.296				55.0
56	187.001				62.5
57	192.470				64.8
58	192.473				4.4
59	196.269				3.6
60	200.666				63.0
61	200.668				15.6
62	212.261				63.2
63	212.263				92.1
64	218.634				64.3
65	218.637				28.7
66	223.069				63.1
67	223.071				10.1
68	229.425				58.1
69	229.428				27.6
70	235.737				63.0
71	235.740				43.2
72	239.869				62.1
73	245.411				63.2
74	245.413				26.5
75	251.028				63.6
76	251.032				2.8
77	256.610				63.0
78	256.612				34.7
79	262.140				64.0
80	262.143				12.5
81	266.420				63.4
82	266.422				2.7
83	272.792				60.5
84	272.794				25.0
85	283.242				63.4
86	283.245				2.2
87	289.928				63.1
88	289.930				1.9
89	295.649				62.8
90	295.651				35.2
91	300.355				63.0
92	300.357				35.0
93	306.841				63.0
94	306.844				2.1
95	312.667				64.0
96	312.669				12.2
97	320.116				62.9
98	320.118				35.5
99	327.277				63.1
100	327.279				34.9
101	333.092				63.0
102	333.094				60.4
103	340.324				63.7
104	340.327				24.7
105	346.883				63.2
106	346.885				2.4
107	353.067				101.7
108	353.070				24.0
109	360.627				65.0
110	360.630				26.2
111	383.108				101.6
