Event No.	Time	X	Y	Z	Arr Time 1
1	0.083				98.8
2	7.452				31.3
3	7.454				96.9
4	12.451				30.5
5	17.535				97.5
6	17.537				41.9
7	21.506				30.9
8	21.508				67.3
9	25.391				97.8
10	25.393				18.2
11	158.168				30.7
12	170.960				30.5
13	170.962				58.5
14	174.910				97.8
15	179.053				98.3
16	183.111				97.6
17	186.915				98.0
18	186.918				87.2
19	190.572				31.1
20	194.682				97.6
21	198.462				30.3
22	202.496				30.4
23	206.470				30.5
24	206.472				15.7
25	210.155				31.2
26	210.157				25.0
27	213.823				31.1
28	217.564				97.7
29	217.566				67.2
30	221.805				98.2
31	226.032				97.3
32	226.034				91.1
33	233.451				98.3
34	237.658				98.1
35	237.660				26.8
36	242.005				99.4
37	242.007				61.5
38	247.294				31.3
39	252.633				30.4
40	256.539				97.9
41	260.292				98.2
42	260.294				15.2
43	263.997				29.5
44	267.753				30.0
45	270.977				98.1
46	275.015				29.7
47	278.550				31.2
48	282.325				97.6
49	291.507				31.3
50	291.509				24.7
51	295.359				30.6
52	295.361				88.6
53	299.219				97.7
54	299.221				54.7
55	303.104				96.6
56	307.029				30.4
57	311.854				30.3
58	316.114				98.2
59	319.420				31.2
60	322.979				29.8
61	322.981				22.4
62	327.996				31.0
63	327.998				58.6
64	332.373				30.9
65	332.375				19.0
66	335.944				30.3
67	340.683				30.2
68	350.644				30.9
69	350.646				20.8
70	354.274				29.7
71	354.277				86.1
72	357.623				31.4
73	361.022				30.4
74	364.705				30.0
75	368.917				30.5
76	373.096				30.7
77	376.211				31.5
78	380.424				97.9
79	380.426				94.9
80	383.981				30.8
81	383.983				63.5
82	387.212				31.5
83	390.493				30.7
84	390.495				20.7
85	394.215				30.1
86	397.902				97.5
87	397.904				30.9
88	409.339				29.9
89	414.897				98.3
90	419.676				98.4
91	419.678				21.0
92	424.715				98.4
93	424.717				20.9
94	429.651				98.0
95	433.102				98.3
96	436.254				97.4
97	436.256				57.9
98	439.186				30.6
99	442.399				98.2
100	445.246				31.0
101	445.248				84.6
102	448.496				31.4
103	448.498				96.9
104	452.487				97.5
105	456.123				97.6
106	456.125				101.5
107	461.138				97.3
108	471.467				97.8
109	471.470				85.1
110	479.735				98.2
111	485.429				98.5
112	485.431				24.1
113	492.638				31.2
114	497.964				30.2
115	504.443				30.4
116	509.693				31.4
117	513.772				97.5
118	513.774				28.4
119	517.427				97.7
120	517.429				36.3
121	520.959				31.4
122	520.961				8.9
123	523.938				97.5
124	523.941				17.5
