Event No.	Time	X	Y	Z	Arr Time 1
1	11.386				54.7
2	11.388				51.4
3	16.237				55.6
4	16.239				21.0
5	20.215				53.7
6	20.217				90.2
7	20.219				62.4
8	27.840				56.0
9	27.843				98.1
10	41.468				56.4
11	41.470				88.8
12	45.029				57.3
13	45.031				7.4
14	45.034				81.3
15	50.361				56.3
16	50.363				22.8
17	58.602				98.1
18	58.604				72.0
19	58.606				94.4
20	63.342				99.7
21	63.344				16.5
22	63.346				26.4
23	68.715				55.2
24	68.717				94.0
25	68.719				62.7
26	73.084				54.6
27	73.086				83.9
28	73.088				22.5
29	83.853				56.9
30	83.855				23.2
31	87.874				49.9
32	87.876				90.7
33	95.093				53.3
34	95.095				20.5
35	98.958				96.7
36	98.960				95.9
37	102.912				58.1
38	102.914				25.0
39	106.329				56.7
40	106.331				80.1
41	110.683				56.4
42	110.686				85.2
43	110.688				25.1
44	110.694				0.9
45	116.053				56.5
46	116.056				15.0
47	116.058				65.7
48	120.655				57.1
49	120.657				93.9
50	124.876				56.9
51	124.878				10.4
52	124.880				63.5
53	129.781				54.8
54	129.783				18.8
55	150.737				56.7
56	150.739				44.6
57	157.603				101.3
58	157.605				82.5
59	162.078				57.5
60	162.081				22.4
61	173.542				57.8
62	173.544				17.4
63	173.546				85.9
64	177.552				56.5
65	177.554				5.2
66	296.553				57.3
67	296.555				77.3
68	296.558				29.6
69	307.125				52.3
70	307.127				23.5
71	310.854				57.6
72	310.856				23.0
73	313.915				56.2
74	313.917				24.5
75	316.568				57.1
76	316.570				94.1
77	316.573				85.0
78	319.678				97.9
79	319.680				101.1
80	322.374				56.4
81	322.376				30.9
82	322.379				24.9
83	326.563				55.8
84	326.565				21.2
85	329.785				58.3
86	329.787				48.6
87	333.307				54.8
88	333.309				48.1
89	337.730				55.5
90	337.732				99.2
91	337.735				62.0
92	342.127				55.7
93	342.129				93.8
94	342.131				54.9
95	347.441				99.2
96	347.444				97.7
97	347.446				26.8
98	352.072				57.8
99	352.074				95.4
100	352.076				12.4
101	356.737				56.2
102	356.739				90.3
103	356.742				87.0
104	368.225				56.8
105	368.227				47.6
