Event No.	Time	X	Y	Z	Arr Time 1
1	18.037				81.2
2	18.039				47.8
3	34.892				82.2
4	34.895				45.7
5	34.897				59.7
6	62.973				81.8
7	62.975				48.1
8	62.977				11.8
9	82.342				86.5
10	82.344				56.7
11	82.346				16.1
12	100.111				83.3
13	100.114				55.8
14	100.116				16.3
15	114.045				71.0
16	114.047				49.1
17	114.050				94.6
18	135.708				65.1
19	135.710				52.3
20	135.713				81.8
21	149.152				77.8
22	149.154				46.3
23	149.156				8.7
24	162.497				69.0
25	162.499				49.6
26	162.502				94.5
27	197.020				67.4
28	197.022				19.5
29	197.024				12.4
30	197.027				63.3
31	210.582				77.0
32	210.584				34.2
33	210.587				12.7
34	224.006				61.3
35	224.008				48.1
36	224.012				78.2
37	250.875				78.0
38	250.877				49.6
39	250.880				93.3
40	261.366				81.5
41	261.368				72.4
42	261.370				81.2
43	261.375				50.8
44	275.614				84.3
45	275.616				50.8
46	275.618				15.4
47	301.091				56.0
48	301.093				NA
49	301.096				25.8
50	315.291				83.2
51	315.293				50.1
52	315.295				32.4
53	333.738				78.5
54	333.740				54.8
55	333.742				33.1
56	353.002				82.3
57	353.004				52.0
58	353.006				34.9
59	373.485				68.1
60	373.486				52.3
61	373.490				94.8
62	388.230				82.6
63	388.232				55.1
64	388.235				81.1
65	400.530				102.3
66	400.532				38.2
67	400.534				49.6
68	411.275				84.3
69	411.277				37.7
70	411.279				64.8
71	423.196				81.3
72	423.198				56.4
73	423.201				3.0
74	439.588				80.8
75	439.591				53.0
76	439.594				59.0
77	450.877				54.9
78	450.879				45.8
79	450.881				19.3
80	463.610				83.3
81	463.612				69.6
82	463.614				65.8
83	478.308				79.6
84	478.310				49.6
85	478.313				57.3
86	498.668				84.6
87	498.670				41.1
88	498.672				65.5
89	518.782				85.2
90	518.784				53.8
91	518.786				17.4
92	519.315				62.3
93	539.512				67.2
94	539.513				50.1
95	539.515				46.6
96	552.400				84.3
97	552.403				72.5
98	552.404				64.5
99	563.910				79.1
100	563.913				43.4
101	563.914				65.8
102	575.046				74.8
103	575.048				16.8
104	575.051				74.5
105	586.472				81.5
106	586.474				52.8
