Event,Time
1,5.31
3,10.529
5,14.615
7,20.28
8,20.282
9,26.689
10,26.692
11,29.672
12,29.673
13,32.751
14,32.753
15,36.148
16,36.15
17,40.223
18,40.226
19,43.925
20,43.927
21,61.422
22,61.424
23,68.649
24,68.651
25,71.766
26,71.768
27,74.629
28,74.631
29,82.985
30,82.987
31,87.519
32,87.521
33,94.642
34,94.645
35,100.977
36,100.979
37,104.086
38,104.089
39,107.477
40,107.479
41,112.1
42,112.102
43,122.794
44,122.796
45,126.481
46,126.483
47,130.732
48,130.734
49,138.223
50,138.225
51,142.107
52,142.109
53,146.066
54,146.068
55,151.531
56,151.533
57,156.957
58,156.959
59,161.469
60,161.471
61,164.332
62,164.334
63,168.149
64,168.151
65,171.363
66,171.365
67,174.297
68,174.299
69,176.758
70,176.76
71,183.56
72,183.562
73,187.354
74,187.356
75,190.958
76,190.96
77,190.962
78,194.4
79,194.402
80,197.004
81,197.007
82,197.009
83,202.268
84,202.271
85,206.342
86,206.344
87,210.648
88,210.65
89,213.825
90,213.827
91,213.829
92,217.482
93,217.484
94,217.486
95,217.489
96,222.411
97,222.413
98,222.415
99,226.237
100,226.239
101,226.242
102,236.362
103,236.364
104,240.8
105,240.802
106,244.071
107,244.073
108,247.465
109,247.467
110,247.469
111,256.532
