Event No.,Time,X,Y,Z,Arr Time 1
1,11.461,,,,62.5
2,32.689,,,,98.2
3,32.692,,,,15.4
4,46.118,,,,98
5,60.2,,,,61.4
6,60.202,,,,48.9
7,69.466,,,,62.4
8,69.468,,,,25.7
9,76.666,,,,98.7
10,76.668,,,,28
11,85.346,,,,97.3
12,96.235,,,,98.7
13,102.838,,,,98.3
14,109.135,,,,98.3
15,109.137,,,,68.4
16,114.133,,,,98.3
17,119.018,,,,98.3
18,123.95,,,,98.3
19,130.324,,,,98.2
20,130.325,,,,10.3
21,136.315,,,,98.6
22,136.317,,,,22.6
23,148.853,,,,97.8
24,166.147,,,,59.7
25,175.826,,,,58.7
26,175.828,,,,52.5
27,180.951,,,,62.4
28,186.92,,,,98.4
29,192.225,,,,98.7
30,192.226,,,,5.7
31,203.28,,,,56.4
32,209.069,,,,98.3
33,214.08,,,,98.5
34,220.711,,,,98.5
35,220.715,,,,21.7
36,228.602,,,,98.3
37,234.386,,,,98.4
38,242.279,,,,97.8
39,242.281,,,,73.3
40,250.673,,,,98.3
41,260.358,,,,98.1
42,260.359,,,,37.8
43,268.942,,,,98.7
44,268.944,,,,27.9
45,274.419,,,,62.5
46,281.556,,,,98.4
47,281.558,,,,14.2
48,288.42,,,,62.5
49,295.452,,,,98.5
50,300.438,,,,98.4
51,305.68,,,,98.5
52,309.765,,,,98.4
53,315.358,,,,98.3
54,320.784,,,,98.5
55,320.786,,,,21.9
56,326.235,,,,62.2
57,326.236,,,,67.8
58,338.348,,,,98.1
59,350.075,,,,98.4
60,354.565,,,,98.6
61,354.567,,,,14.9
62,359.158,,,,98.6
63,359.16,,,,15.2
64,363.988,,,,98.7
65,363.989,,,,14.2
66,369.453,,,,98.5
67,373.336,,,,98.5
68,377.688,,,,62.4
69,377.691,,,,84
70,381.829,,,,98.6
71,387.168,,,,98.4
72,391.645,,,,98.5
73,396.441,,,,98.3
74,400.667,,,,97.9
75,400.669,,,,53.3
76,530.012,,,,98.1
77,545.316,,,,98.2
78,545.319,,,,87.6
79,549.826,,,,97.7
80,554.641,,,,98.7
81,554.644,,,,38.8
82,559.844,,,,98.3
83,564.704,,,,98.6
84,569,,,,98.4
85,574.892,,,,98.4
86,574.895,,,,9.8
87,584.939,,,,60.2
88,591.537,,,,54.3
89,591.539,,,,77.9
90,595.702,,,,98.5
91,600.449,,,,54.1
92,606.305,,,,97.9
93,613.243,,,,98.2
94,613.245,,,,27
95,621.246,,,,62.3
96,621.248,,,,12.5
97,626.06,,,,54.2
98,630.496,,,,98.4
99,635.428,,,,98.4
100,635.43,,,,22.2
101,639.931,,,,98.4
102,646.375,,,,54.4
103,646.377,,,,37.8
104,650.54,,,,59.9
105,656.114,,,,97.1
106,656.115,,,,24.3
