Event,Time
2,20.207
4,27.734
6,33.079
7,38.348
9,44.75
11,49.564
12,55.059
14,61.474
16,68.661
18,74.117
19,80.456
20,87.64
21,94.711
22,105.074
24,111.406
25,117.285
27,125.496
28,133.203
30,138.994
32,142.982
34,146.422
36,149.106
38,152.044
39,156.075
41,160.337
42,164.594
43,169.81
45,178.493
47,183.017
49,188.325
51,193.344
52,198.831
54,203.347
55,208.3
57,211.984
59,215.45
60,218.8
61,222.938
62,226.375
63,231.667
64,238.944
66,242.803
67,247.179
69,250.95
70,254.45
72,259.987
74,265.525
75,270.914
77,275.373
78,279.8
80,285.782
81,290.68
82,297.063
84,304.455
86,308.41
87,312.437
89,316.033
90,319.226
92,321.983
94,325.381
96,328.089
98,332.351
99,337.478
101,341.392
103,345.988
105,351.392
106,361.047
108,365.738
