Event No.	Time	X	Y	Z	Arr Time 1
1	0.085				1.9
2	9.384				94.8
3	9.386				29.3
4	15.167				30.8
5	24.751				31.7
6	24.753				58.8
7	30.329				31.6
8	30.331				83.0
9	39.284				32.2
10	39.286				28.4
11	45.935				31.6
12	45.937				47.5
13	51.300				93.9
14	51.302				9.0
15	56.842				31.9
16	56.845				54.2
17	62.088				83.6
18	62.090				7.2
19	67.605				31.7
20	67.607				48.3
21	82.922				31.4
22	82.924				55.6
23	88.586				31.2
24	88.588				39.1
25	93.491				31.6
26	93.493				55.5
27	99.550				31.4
28	99.552				92.1
29	99.554				24.5
30	104.232				31.6
31	104.234				68.3
32	104.279				46.2
33	108.784				32.5
34	108.786				59.9
35	113.186				31.4
36	113.188				63.1
37	116.970				74.3
38	116.972				67.2
39	120.177				90.4
40	120.179				72.8
41	120.186				93.9
42	124.378				32.4
43	124.380				20.4
44	124.423				71.3
45	128.624				32.0
46	128.626				21.2
47	132.741				31.6
48	132.743				29.4
49	137.109				91.5
50	137.111				89.2
51	160.106				31.3
52	160.108				22.7
53	164.931				86.4
54	164.933				79.1
55	175.368				97.0
56	175.370				58.7
57	179.219				94.5
58	179.222				55.2
59	182.883				72.4
60	182.885				36.7
61	187.708				90.2
62	187.710				10.7
63	192.120				32.1
64	192.122				65.9
65	197.206				92.1
66	197.209				9.3
67	200.794				91.7
68	200.797				57.4
69	204.982				32.2
70	204.985				57.8
71	241.041				31.3
72	241.043				7.2
73	245.456				31.9
74	245.458				65.0
75	251.082				31.8
76	251.084				56.1
77	256.422				88.4
