Event No.	Time	X	Y	Z	Arr Time 1
1	11.958				53.6
2	11.959				58.1
3	11.961				18.6
4	18.514				55.0
5	18.516				14.3
6	18.518				66.4
7	29.274				54.9
8	29.276				5.6
9	29.279				82.1
10	29.283				23.7
11	29.285				33.1
12	36.964				49.1
13	36.966				21.4
14	43.474				50.0
15	43.476				24.7
16	48.099				53.8
17	48.101				50.8
18	58.561				52.8
19	58.563				39.6
20	69.921				50.1
21	69.923				30.6
22	83.934				53.4
23	83.936				65.1
24	83.938				37.5
25	92.180				52.5
26	92.182				45.4
27	98.963				54.1
28	98.965				49.3
29	105.860				51.2
30	105.862				82.6
31	113.474				53.9
32	113.476				65.9
33	131.987				53.9
34	131.989				41.5
35	147.961				53.9
36	147.963				82.7
37	147.965				54.9
38	153.080				81.0
39	153.082				43.9
40	160.402				96.7
41	160.404				64.5
42	160.406				92.3
43	178.608				55.0
44	178.610				42.2
45	182.447				55.6
46	182.450				45.2
47	190.500				59.3
48	190.502				45.8
49	225.100				54.1
50	225.103				44.8
51	235.881				52.4
52	235.883				27.7
53	240.133				51.7
54	240.135				27.5
55	249.542				54.2
56	249.545				61.2
57	258.511				55.7
58	258.513				31.8
59	262.297				54.6
60	262.299				63.9
61	262.301				92.5
62	267.315				56.1
63	267.317				87.6
64	267.320				27.4
65	271.306				98.9
66	271.308				1.4
67	271.311				86.0
68	271.359				36.9
69	282.339				55.0
70	282.341				64.4
71	290.823				51.5
72	290.825				0.9
73	294.946				53.7
74	294.948				26.3
75	298.741				53.1
76	298.743				41.6
77	306.656				54.6
78	306.658				58.7
79	310.562				51.6
80	310.564				29.8
81	314.498				51.3
82	314.500				23.7
83	318.294				50.6
84	318.297				63.8
85	323.695				57.5
86	323.697				38.0
87	327.440				53.8
88	327.442				38.9
89	330.977				78.2
90	330.980				62.3
91	330.982				28.3
92	335.120				53.6
93	335.122				30.0
94	338.615				51.7
95	338.617				60.7
96	345.852				55.5
97	345.854				41.5
98	350.292				47.5
99	350.293				52.4
100	358.136				52.2
101	358.138				38.0
102	358.141				15.8
103	373.166				97.5
104	373.168				43.7
105	379.549				50.8
