Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2
1	5.600				56.3	353.4
2	11.110				272.5	386.4
3	11.112				198.9	314.9
4	16.567				301.8	396.7
5	16.570				305.7	25.7
6	21.554				52.8	355.7
7	27.123				52.7	360.9
8	33.335				53.7	353.9
9	40.542				388.4	377.7
10	40.545				198.9	381.7
11	47.345				253.7	362.8
12	55.357				244.7	366.8
13	55.360				158.9	215.9
14	61.988				245.4	363.1
15	61.991				374.5	223.4
16	66.873				353.9	380.0
17	77.188				321.9	367.6
18	77.190				256.4	287.2
19	82.812				337.6	383.3
20	82.815				24.0	64.6
21	83.252				37.2	331.1
22	89.601				53.2	354.3
23	95.767				246.6	368.5
24	100.516				285.6	399.9
25	100.519				56.8	227.5
26	104.688				242.4	367.1
27	104.691				39.1	94.3
28	111.127				246.4	368.2
29	115.608				245.6	366.5
30	119.724				53.0	352.4
31	125.334				236.6	395.3
32	133.276				305.8	311.1
33	133.279				257.9	369.3
34	139.982				153.6	354.0
35	150.133				53.8	355.6
36	154.496				53.0	354.8
37	160.203				52.3	365.4
38	165.631				249.9	404.9
39	170.450				252.3	358.6
40	175.703				246.6	365.8
41	180.591				254.5	365.5
42	180.594				58.0	110.2
43	183.841				337.2	332.4
44	183.843				248.7	73.3
45	190.556				51.6	372.7
46	196.195				369.9	105.5
47	196.198				336.3	391.0
48	201.302				51.5	376.4
49	207.203				55.9	353.8
50	207.206				322.7	22.4
51	215.573				330.0	335.1
