Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	20.043	0.000	0.000	0.000	34.4	76.9	99.9	120.1
2	31.506	0.000	0.000	0.000	34.5	77.0	100.6	122.5
3	31.519	0.000	0.000	0.000	24.9	307.8	256.8	18.7
4	31.552	0.000	0.000	0.000	42.5	73.0	122.0	135.3
5	43.234	0.000	0.000	0.000	34.5	76.9	100.4	122.3
6	43.249	0.000	0.000	0.000	25.0	329.6	283.6	58.7
7	43.285	0.000	0.000	0.000	39.9	71.5	121.0	132.4
8	52.815	0.000	0.000	0.000	34.5	76.9	100.4	121.8
9	52.829	0.000	0.000	0.000	25.1	0.2	346.3	5.6
10	52.864	0.000	0.000	0.000	38.4	79.5	122.2	143.5
11	61.029	0.000	0.000	0.000	34.4	76.6	99.6	120.0
12	61.047	0.000	0.000	0.000	41.2	72.6	122.5	134.9
13	69.375	0.000	0.000	0.000	34.4	76.6	99.7	120.3
14	79.184	0.000	0.000	0.000	34.1	76.3	99.0	118.3
15	90.361	0.000	0.000	0.000	34.6	76.8	100.1	121.3
16	90.376	0.000	0.000	0.000	34.7	77.1	118.4	142.1
17	90.457	0.000	0.000	0.000	37.3	69.2	118.7	131.6
18	100.044	0.000	0.000	0.000	34.5	76.9	100.6	122.9
19	100.053	0.000	0.000	0.000	21.2	63.6	86.5	106.4
20	100.058	0.000	0.000	0.000	16.9	56.7	104.6	120.8
21	100.060	0.000	0.000	0.000	32.5	5.5	7.5	10.4
22	100.092	0.000	0.000	0.000	34.0	64.3	116.8	129.1
23	108.383	0.000	0.000	0.000	32.6	69.2	97.5	115.5
24	118.743	0.000	0.000	0.000	34.6	76.7	100.2	122.0
25	125.830	0.000	0.000	0.000	34.2	76.5	99.2	118.8
26	125.850	0.000	0.000	0.000	34.6	66.6	118.0	130.2
27	132.875	0.000	0.000	0.000	34.1	76.4	99.1	118.5
28	142.512	0.000	0.000	0.000	34.4	76.7	99.5	119.5
29	150.884	0.000	0.000	0.000	34.2	76.5	99.2	118.9
30	159.841	0.000	0.000	0.000	34.0	76.4	98.8	117.9
31	159.866	0.000	0.000	0.000	40.2	72.9	123.2	133.7
32	167.026	0.000	0.000	0.000	34.5	76.8	99.6	119.6
33	174.591	0.000	0.000	0.000	34.4	76.6	99.5	119.7
34	174.609	0.000	0.000	0.000	29.0	60.8	109.7	121.7
35	183.044	0.000	0.000	0.000	34.1	76.4	99.1	118.5
36	191.733	0.000	0.000	0.000	34.2	76.5	99.1	118.5
37	199.634	0.000	0.000	0.000	34.5	76.8	99.7	120.1
38	199.638	0.000	0.000	0.000	32.4	76.3	100.0	122.7
39	199.654	0.000	0.000	0.000	29.6	66.2	112.1	125.8
40	207.501	0.000	0.000	0.000	34.5	76.7	100.2	121.9
41	207.517	0.000	0.000	0.000	25.2	373.1	402.9	11.5
42	207.553	0.000	0.000	0.000	41.6	76.0	123.3	136.2
43	213.995	0.000	0.000	0.000	33.1	72.4	97.9	115.9
44	222.701	0.000	0.000	0.000	34.6	76.9	100.5	122.3
45	222.716	0.000	0.000	0.000	24.9	402.0	193.5	222.1
46	230.033	0.000	0.000	0.000	34.5	76.7	99.6	119.6
47	230.050	0.000	0.000	0.000	35.4	73.1	117.3	132.3
48	236.639	0.000	0.000	0.000	34.3	76.6	99.4	119.2
49	244.399	0.000	0.000	0.000	34.4	76.6	99.5	119.6
50	251.302	0.000	0.000	0.000	34.3	76.6	99.4	119.2
51	259.347	0.000	0.000	0.000	34.0	76.4	98.8	117.9
52	259.370	0.000	0.000	0.000	42.8	78.3	124.7	137.3
53	267.061	0.000	0.000	0.000	34.2	76.6	99.1	118.5
54	274.066	0.000	0.000	0.000	34.1	76.6	99.0	118.3
55	281.645	0.000	0.000	0.000	34.3	76.6	99.4	119.3
56	281.663	0.000	0.000	0.000	38.5	81.7	168.5	139.7
57	286.966	0.000	0.000	0.000	34.3	76.7	99.3	119.1
58	286.985	0.000	0.000	0.000	41.4	76.0	123.5	137.2
59	293.269	0.000	0.000	0.000	34.3	76.7	99.3	118.9
