Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	16.054	0.000	0.000	0.000	52.2	52.0	49.0	41.7
2	25.125	0.000	0.000	0.000	52.2	51.9	405.2	393.1
3	33.542	0.000	0.000	0.000	52.4	52.0	48.5	41.9
4	50.916	0.000	0.000	0.000	52.3	52.2	49.5	42.1
5	57.812	0.000	0.000	0.000	52.3	52.2	384.5	42.1
6	63.100	0.000	0.000	0.000	52.3	52.2	49.2	42.0
7	69.570	0.000	0.000	0.000	52.1	51.9	48.1	41.8
8	82.140	0.000	0.000	0.000	52.3	51.8	48.2	41.8
9	89.200	0.000	0.000	0.000	52.2	51.9	48.4	41.8
10	105.351	0.000	0.000	0.000	52.4	52.3	49.3	42.1
11	111.966	0.000	0.000	0.000	52.2	52.2	49.6	41.9
12	117.004	0.000	0.000	0.000	52.3	52.1	49.1	42.0
13	124.534	0.000	0.000	0.000	54.9	56.8	46.5	44.5
14	130.625	0.000	0.000	0.000	52.4	52.2	49.2	42.0
15	136.944	0.000	0.000	0.000	52.3	51.9	48.4	41.8
16	353.148	0.000	0.000	0.000	52.5	51.8	48.6	42.2
17	366.680	0.000	0.000	0.000	52.4	51.7	47.5	41.8
18	373.316	0.000	0.000	0.000	52.6	52.0	49.1	42.1
19	378.814	0.000	0.000	0.000	52.5	51.9	49.0	42.1
20	393.016	0.000	0.000	0.000	52.1	51.7	48.1	41.7
21	399.968	0.000	0.000	0.000	52.4	52.0	48.9	42.0
22	404.984	0.000	0.000	0.000	52.5	52.1	49.1	42.2
23	411.534	0.000	0.000	0.000	52.5	52.1	49.3	42.2
24	417.484	0.000	0.000	0.000	52.5	52.2	49.5	42.2
25	422.891	0.000	0.000	0.000	52.5	52.2	49.3	42.2
26	434.496	0.000	0.000	0.000	52.5	52.1	49.0	42.3
27	443.489	0.000	0.000	0.000	52.6	51.7	48.1	41.8
28	459.767	0.000	0.000	0.000	52.4	52.2	49.7	42.1
29	466.851	0.000	0.000	0.000	52.4	52.0	48.6	42.0
30	477.525	0.000	0.000	0.000	52.5	52.0	48.8	42.1
31	488.814	0.000	0.000	0.000	52.6	52.2	49.2	42.3
32	503.936	0.000	0.000	0.000	52.5	52.1	49.2	42.2
33	512.240	0.000	0.000	0.000	52.4	52.0	345.4	42.2
34	518.692	0.000	0.000	0.000	52.7	53.0	51.5	41.9
35	525.154	0.000	0.000	0.000	52.6	52.0	49.0	42.2
36	533.420	0.000	0.000	0.000	52.5	52.0	48.9	42.1
37	540.236	0.000	0.000	0.000	52.6	52.0	49.0	42.6
38	554.987	0.000	0.000	0.000	52.3	51.7	406.5	394.2
39	562.223	0.000	0.000	0.000	52.5	51.9	48.2	42.1
40	568.955	0.000	0.000	0.000	52.5	52.0	49.0	42.1
41	574.811	0.000	0.000	0.000	52.5	52.0	48.9	42.1
42	582.801	0.000	0.000	0.000	52.5	52.1	341.9	42.2
43	590.141	0.000	0.000	0.000	52.5	52.1	49.3	42.3
44	595.684	0.000	0.000	0.000	52.5	52.0	48.9	42.1
45	601.717	0.000	0.000	0.000	52.6	52.2	49.7	42.1
46	606.149	0.000	0.000	0.000	52.5	52.1	49.2	42.2
47	611.600	0.000	0.000	0.000	52.4	51.8	48.3	42.0
48	616.990	0.000	0.000	0.000	53.7	53.8	52.1	42.4
49	625.503	0.000	0.000	0.000	52.5	52.0	49.2	42.2
50	631.777	0.000	0.000	0.000	52.5	52.0	49.0	42.2
