Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	14.866	0.000	0.000	0.000	56.9	66.1	49.0	253.7
2	23.092	0.000	0.000	0.000	57.7	67.0	50.3	254.3
3	30.492	0.000	0.000	0.000	53.4	62.8	109.8	91.7
4	30.496	0.000	0.000	0.000	11.4	14.5	116.7	179.3
5	64.035	0.000	0.000	0.000	57.0	66.2	50.2	253.7
6	70.767	0.000	0.000	0.000	57.8	67.1	51.6	254.5
7	77.419	0.000	0.000	0.000	57.0	66.2	49.4	253.9
8	84.804	0.000	0.000	0.000	57.1	66.3	50.2	253.7
9	90.624	0.000	0.000	0.000	56.8	66.0	49.8	253.4
10	98.135	0.000	0.000	0.000	57.1	66.3	50.3	253.7
11	107.776	0.000	0.000	0.000	48.1	57.2	39.6	244.7
12	114.709	0.000	0.000	0.000	57.0	66.2	49.0	253.5
13	122.898	0.000	0.000	0.000	47.6	56.7	38.0	244.3
14	134.038	0.000	0.000	0.000	57.2	66.4	50.8	253.7
15	141.639	0.000	0.000	0.000	57.0	66.2	110.4	250.2
16	141.642	0.000	0.000	0.000	25.8	36.8	79.0	71.0
17	152.365	0.000	0.000	0.000	57.8	67.6	246.6	147.2
18	442.465	0.000	0.000	0.000	57.9	67.5	246.4	99.3
19	482.843	0.000	0.000	0.000	57.8	67.1	51.2	254.3
20	504.075	0.000	0.000	0.000	56.0	65.8	177.6	59.3
21	504.079	0.000	0.000	0.000	53.1	63.1	233.5	245.8
22	513.490	0.000	0.000	0.000	57.0	66.2	48.5	253.7
23	518.878	0.000	0.000	0.000	47.8	56.8	163.7	244.7
24	524.771	0.000	0.000	0.000	47.9	56.9	164.2	244.6
25	533.015	0.000	0.000	0.000	47.4	56.3	158.8	244.2
26	544.246	0.000	0.000	0.000	47.6	56.6	160.9	244.0
27	553.256	0.000	0.000	0.000	48.3	57.5	40.2	245.0
28	559.269	0.000	0.000	0.000	55.9	65.0	47.1	252.5
29	565.967	0.000	0.000	0.000	47.1	56.1	151.7	243.6
30	572.734	0.000	0.000	0.000	47.5	56.5	161.8	244.4
31	580.931	0.000	0.000	0.000	47.4	56.6	35.0	244.3
32	600.928	0.000	0.000	0.000	56.7	65.8	48.5	253.4
33	610.259	0.000	0.000	0.000	47.7	56.8	38.3	244.4
34	616.979	0.000	0.000	0.000	47.4	56.5	160.5	243.9
35	622.998	0.000	0.000	0.000	48.3	57.6	110.8	244.0
36	623.002	0.000	0.000	0.000	39.7	51.3	87.7	69.5
37	630.378	0.000	0.000	0.000	48.0	57.2	38.6	244.6
38	635.631	0.000	0.000	0.000	47.8	57.0	38.5	244.5
39	642.501	0.000	0.000	0.000	56.0	65.1	46.9	252.5
40	652.085	0.000	0.000	0.000	55.7	64.8	46.1	252.3
41	660.167	0.000	0.000	0.000	55.6	64.6	170.0	252.2
42	667.103	0.000	0.000	0.000	47.4	56.4	158.9	248.2
43	676.064	0.000	0.000	0.000	47.3	56.6	35.4	244.0
44	694.233	0.000	0.000	0.000	47.3	56.3	157.0	243.7
45	703.046	0.000	0.000	0.000	48.1	57.4	39.7	244.7
46	711.388	0.000	0.000	0.000	47.4	56.5	159.7	243.8
47	720.567	0.000	0.000	0.000	47.7	56.8	163.9	244.4
48	726.012	0.000	0.000	0.000	47.7	56.8	118.3	243.5
49	726.015	0.000	0.000	0.000	113.3	42.9	145.5	217.8
50	732.588	0.000	0.000	0.000	47.3	56.3	157.7	243.9
