Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	13.380	0.000	0.000	0.000	84.1	61.6	169.7	56.5
2	59.671	0.000	0.000	0.000	197.0	247.7	298.7	344.4
3	67.509	0.000	0.000	0.000	84.5	29.6	171.4	57.2
4	74.868	0.000	0.000	0.000	84.0	70.0	173.5	56.6
5	89.154	0.000	0.000	0.000	84.3	30.1	171.7	57.4
6	95.088	0.000	0.000	0.000	138.1	396.6	233.6	129.4
7	95.091	0.000	0.000	0.000	225.1	225.0	247.4	100.7
8	101.662	0.000	0.000	0.000	85.9	31.5	222.1	59.5
9	101.664	0.000	0.000	0.000	258.1	81.3	290.9	93.6
10	108.263	0.000	0.000	0.000	85.7	32.3	174.4	59.0
11	117.137	0.000	0.000	0.000	86.5	32.9	175.4	59.4
12	124.911	0.000	0.000	0.000	84.2	62.9	170.0	56.1
13	131.713	0.000	0.000	0.000	197.0	161.4	188.1	118.9
14	131.717	0.000	0.000	0.000	278.7	104.9	297.4	75.8
15	138.226	0.000	0.000	0.000	86.0	32.8	175.1	59.6
16	144.939	0.000	0.000	0.000	84.8	31.5	173.4	58.5
17	152.026	0.000	0.000	0.000	84.9	31.3	173.2	58.8
18	158.564	0.000	0.000	0.000	83.8	67.9	255.4	215.7
19	166.334	0.000	0.000	0.000	82.8	70.7	169.9	53.9
20	166.336	0.000	0.000	0.000	39.1	20.1	8.4	1.3
21	178.214	0.000	0.000	0.000	86.2	33.4	176.1	59.8
22	184.574	0.000	0.000	0.000	84.6	65.0	170.9	56.8
23	190.121	0.000	0.000	0.000	84.1	63.7	169.8	56.1
24	198.015	0.000	0.000	0.000	82.6	62.0	168.4	54.5
25	203.246	0.000	0.000	0.000	195.6	185.3	243.3	137.0
26	203.249	0.000	0.000	0.000	331.5	240.1	311.8	221.4
27	210.629	0.000	0.000	0.000	84.5	31.4	173.6	58.3
28	218.628	0.000	0.000	0.000	83.5	27.6	166.5	54.9
29	218.631	0.000	0.000	0.000	392.2	8.9	183.5	407.3
30	218.642	0.000	0.000	0.000	73.2	404.3	118.2	43.1
31	226.053	0.000	0.000	0.000	83.4	28.7	169.8	57.4
32	231.984	0.000	0.000	0.000	84.0	64.5	170.2	56.0
33	238.566	0.000	0.000	0.000	84.5	31.0	173.0	58.1
34	244.801	0.000	0.000	0.000	158.1	205.9	263.0	102.8
35	244.804	0.000	0.000	0.000	245.7	156.7	368.7	191.5
36	253.314	0.000	0.000	0.000	83.0	64.1	169.1	54.5
37	267.129	0.000	0.000	0.000	85.4	31.0	173.3	57.9
38	271.893	0.000	0.000	0.000	85.1	66.1	172.0	57.1
39	276.696	0.000	0.000	0.000	85.9	33.0	175.6	59.2
40	296.923	0.000	0.000	0.000	85.6	32.3	174.6	58.9
41	304.759	0.000	0.000	0.000	85.9	33.1	176.0	58.8
42	313.390	0.000	0.000	0.000	83.4	63.1	169.3	55.6
43	319.925	0.000	0.000	0.000	85.2	30.0	171.1	57.9
44	327.345	0.000	0.000	0.000	189.4	31.0	172.6	110.7
45	327.348	0.000	0.000	0.000	253.1	1.8	289.7	93.1
46	335.298	0.000	0.000	0.000	85.1	31.4	173.2	58.4
47	343.206	0.000	0.000	0.000	84.8	31.2	173.1	58.3
48	351.144	0.000	0.000	0.000	82.8	65.5	169.6	54.2
49	359.289	0.000	0.000	0.000	84.0	29.9	174.0	57.2
50	371.151	0.000	0.000	0.000	83.8	63.7	169.8	55.8
51	377.731	0.000	0.000	0.000	83.5	63.0	169.2	55.4
52	384.293	0.000	0.000	0.000	83.9	64.1	169.5	55.4
53	390.780	0.000	0.000	0.000	84.8	32.4	176.3	57.4
54	390.783	0.000	0.000	0.000	247.4	113.4	296.5	95.1
55	396.881	0.000	0.000	0.000	200.4	62.5	248.6	143.9
56	404.642	0.000	0.000	0.000	84.0	62.0	169.7	56.7
57	411.294	0.000	0.000	0.000	82.6	66.0	169.3	52.8
58	418.281	0.000	0.000	0.000	85.0	31.2	173.1	58.2
