Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	0.083	0.000	0.000	0.000	58.0	89.3	136.2	262.3
2	5.297	0.000	0.000	0.000	78.3	28.3	173.7	54.9
3	13.318	0.000	0.000	0.000	84.1	33.7	178.5	60.6
4	19.758	0.000	0.000	0.000	78.5	28.0	174.1	407.9
5	26.200	0.000	0.000	0.000	77.9	27.3	171.5	408.2
6	37.639	0.000	0.000	0.000	78.4	27.2	171.6	408.0
7	48.100	0.000	0.000	0.000	77.5	25.4	169.0	407.9
8	58.493	0.000	0.000	0.000	77.3	26.5	170.3	408.0
9	65.078	0.000	0.000	0.000	78.6	28.2	172.5	55.4
10	70.641	0.000	0.000	0.000	78.2	28.0	172.1	55.6
11	79.347	0.000	0.000	0.000	78.1	27.6	171.8	408.2
12	86.931	0.000	0.000	0.000	78.6	28.7	172.7	55.8
13	93.152	0.000	0.000	0.000	77.8	27.8	172.1	54.1
14	99.551	0.000	0.000	0.000	77.7	28.2	172.2	407.4
15	108.502	0.000	0.000	0.000	77.6	28.0	172.3	55.3
16	114.707	0.000	0.000	0.000	76.7	26.8	356.1	405.6
17	119.398	0.000	0.000	0.000	78.2	28.2	172.4	55.1
18	125.338	0.000	0.000	0.000	77.7	27.7	173.1	408.1
19	131.772	0.000	0.000	0.000	78.3	28.7	278.9	55.9
20	141.430	0.000	0.000	0.000	81.0	28.7	172.2	59.1
21	148.256	0.000	0.000	0.000	77.5	26.1	169.8	407.5
22	154.379	0.000	0.000	0.000	77.9	28.0	297.3	407.8
23	160.612	0.000	0.000	0.000	77.6	24.9	167.9	408.2
24	168.051	0.000	0.000	0.000	77.9	27.7	170.1	407.7
25	173.997	0.000	0.000	0.000	77.6	27.4	171.7	408.5
26	180.003	0.000	0.000	0.000	77.6	27.3	171.4	407.7
27	185.208	0.000	0.000	0.000	78.3	28.3	171.7	407.9
28	193.135	0.000	0.000	0.000	78.3	27.9	172.1	54.7
29	202.238	0.000	0.000	0.000	77.8	27.3	171.6	408.4
30	206.651	0.000	0.000	0.000	78.4	28.3	172.6	55.6
31	215.439	0.000	0.000	0.000	77.7	27.6	172.8	408.6
32	223.640	0.000	0.000	0.000	78.1	27.9	173.0	55.3
33	234.418	0.000	0.000	0.000	81.9	28.4	170.9	57.8
34	241.175	0.000	0.000	0.000	78.3	27.4	171.7	54.6
35	247.617	0.000	0.000	0.000	78.2	25.4	168.5	408.3
36	255.388	0.000	0.000	0.000	79.6	27.9	171.9	57.6
37	262.912	0.000	0.000	0.000	78.6	27.2	171.5	55.2
38	270.934	0.000	0.000	0.000	84.7	32.6	177.3	61.3
39	280.701	0.000	0.000	0.000	78.1	26.8	171.0	408.0
40	287.423	0.000	0.000	0.000	78.3	27.9	172.5	55.7
41	293.048	0.000	0.000	0.000	78.4	27.7	172.1	55.2
42	299.917	0.000	0.000	0.000	78.2	27.4	172.1	408.1
43	306.481	0.000	0.000	0.000	78.0	26.9	171.6	408.7
44	316.707	0.000	0.000	0.000	78.1	26.1	304.5	53.0
45	322.486	0.000	0.000	0.000	78.9	28.0	172.7	55.1
46	331.227	0.000	0.000	0.000	78.8	27.5	172.5	54.7
47	336.994	0.000	0.000	0.000	77.5	26.1	263.3	407.7
48	343.682	0.000	0.000	0.000	77.7	27.1	171.5	408.2
49	350.758	0.000	0.000	0.000	78.3	28.0	172.6	55.4
50	362.619	0.000	0.000	0.000	78.2	26.1	169.7	408.0
