Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	0.083	0.000	0.000	0.000	NA	407.9	2.9	408.1
2	43.352	0.000	0.000	0.000	53.8	52.8	28.6	42.6
3	48.748	0.000	0.000	0.000	55.8	56.9	105.9	48.8
4	54.150	0.000	0.000	0.000	56.1	58.4	55.6	49.0
5	61.331	0.000	0.000	0.000	51.8	51.7	46.9	368.1
6	67.408	0.000	0.000	0.000	55.1	56.8	54.5	48.8
7	73.004	0.000	0.000	0.000	54.1	53.8	47.6	48.4
8	77.637	0.000	0.000	0.000	53.6	54.0	49.4	48.5
9	90.687	0.000	0.000	0.000	52.8	53.9	98.0	42.9
10	96.827	0.000	0.000	0.000	59.3	61.7	56.5	50.4
11	100.900	0.000	0.000	0.000	57.0	59.6	56.1	49.1
12	106.032	0.000	0.000	0.000	57.6	60.0	55.1	48.9
13	112.187	0.000	0.000	0.000	53.9	54.8	54.3	45.1
14	118.983	0.000	0.000	0.000	51.7	52.7	98.7	40.7
15	125.042	0.000	0.000	0.000	53.7	56.0	52.8	46.4
16	130.082	0.000	0.000	0.000	57.7	59.8	56.3	49.9
17	137.242	0.000	0.000	0.000	54.8	55.7	100.7	42.8
18	142.267	0.000	0.000	0.000	49.4	49.3	94.2	44.2
19	146.164	0.000	0.000	0.000	52.9	54.1	98.7	42.1
20	150.503	0.000	0.000	0.000	53.9	53.4	106.8	50.3
21	211.393	0.000	0.000	0.000	59.5	61.0	110.7	50.5
22	220.507	0.000	0.000	0.000	57.1	59.1	53.9	48.6
23	224.604	0.000	0.000	0.000	55.6	57.4	54.5	48.5
24	229.862	0.000	0.000	0.000	316.7	324.3	315.8	299.9
25	236.733	0.000	0.000	0.000	55.5	56.2	49.4	48.5
26	242.561	0.000	0.000	0.000	57.7	60.2	56.4	49.7
27	247.019	0.000	0.000	0.000	57.3	59.5	54.3	49.2
28	251.368	0.000	0.000	0.000	55.9	57.7	52.1	48.8
29	255.837	0.000	0.000	0.000	55.4	58.3	56.4	48.0
30	260.439	0.000	0.000	0.000	55.8	57.0	141.3	96.3
31	264.561	0.000	0.000	0.000	53.1	55.1	50.5	45.5
32	267.767	0.000	0.000	0.000	56.2	58.6	56.0	48.5
33	271.998	0.000	0.000	0.000	58.6	60.7	55.9	50.1
34	277.515	0.000	0.000	0.000	57.1	58.5	108.1	48.5
35	285.391	0.000	0.000	0.000	55.6	54.9	49.4	48.1
36	298.044	0.000	0.000	0.000	50.5	51.6	95.6	41.4
37	302.282	0.000	0.000	0.000	58.6	61.3	56.7	50.4
38	308.109	0.000	0.000	0.000	55.8	58.9	56.4	49.1
39	313.794	0.000	0.000	0.000	53.6	53.8	49.9	48.3
40	319.064	0.000	0.000	0.000	55.9	58.0	53.9	48.4
41	327.175	0.000	0.000	0.000	56.9	58.8	54.4	49.1
42	332.033	0.000	0.000	0.000	57.2	59.2	53.7	49.2
43	337.703	0.000	0.000	0.000	59.0	62.2	59.1	51.0
44	343.677	0.000	0.000	0.000	57.2	58.9	108.0	48.9
45	350.841	0.000	0.000	0.000	54.5	56.6	55.7	46.4
46	356.716	0.000	0.000	0.000	55.0	56.7	52.1	48.4
47	362.098	0.000	0.000	0.000	53.1	54.6	54.0	47.6
48	368.320	0.000	0.000	0.000	57.5	59.5	53.1	48.5
49	374.280	0.000	0.000	0.000	56.5	54.8	50.6	53.2
50	385.193	0.000	0.000	0.000	52.3	54.2	54.2	42.5
51	390.107	0.000	0.000	0.000	55.2	57.2	54.2	48.6
52	394.134	0.000	0.000	0.000	53.1	53.5	50.4	48.2
53	398.816	0.000	0.000	0.000	55.8	57.4	53.5	48.7
54	403.865	0.000	0.000	0.000	54.3	54.5	49.0	48.7
