Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	0.082	0.000	0.000	0.000	208.5	7.5	159.9	259.6
2	10.128	0.000	0.000	0.000	54.7	55.6	53.2	46.3
3	16.876	0.000	0.000	0.000	55.2	55.9	53.2	46.8
4	27.501	0.000	0.000	0.000	55.2	56.0	53.1	47.3
5	34.926	0.000	0.000	0.000	57.5	58.2	55.4	49.1
6	41.888	0.000	0.000	0.000	55.5	56.3	53.6	46.8
7	51.398	0.000	0.000	0.000	54.2	56.1	55.1	44.3
8	57.304	0.000	0.000	0.000	55.1	56.0	53.4	46.5
9	63.895	0.000	0.000	0.000	54.5	55.5	53.2	46.0
10	69.659	0.000	0.000	0.000	56.1	57.8	56.5	45.5
11	69.664	0.000	0.000	0.000	24.0	107.4	17.4	14.9
12	75.986	0.000	0.000	0.000	55.1	55.9	53.0	47.4
13	81.140	0.000	0.000	0.000	54.4	55.3	52.9	46.4
14	86.888	0.000	0.000	0.000	54.6	55.3	53.9	45.5
15	86.894	0.000	0.000	0.000	53.8	54.1	50.6	45.2
16	94.073	0.000	0.000	0.000	56.4	59.4	58.1	48.4
17	94.079	0.000	0.000	0.000	53.7	53.0	47.7	47.2
18	100.346	0.000	0.000	0.000	54.9	55.8	53.4	46.2
19	106.018	0.000	0.000	0.000	54.7	56.9	55.7	44.2
20	114.112	0.000	0.000	0.000	57.8	58.7	55.9	49.4
21	122.790	0.000	0.000	0.000	55.3	56.1	53.4	46.7
22	137.696	0.000	0.000	0.000	54.6	56.9	55.9	44.3
23	170.730	0.000	0.000	0.000	53.4	55.7	55.1	43.3
24	178.242	0.000	0.000	0.000	54.5	55.5	53.5	45.8
25	185.352	0.000	0.000	0.000	53.0	54.4	53.1	44.5
26	192.786	0.000	0.000	0.000	54.4	55.5	53.4	46.2
27	199.136	0.000	0.000	0.000	54.2	55.1	52.6	46.2
28	204.790	0.000	0.000	0.000	54.6	55.6	53.3	45.9
29	222.619	0.000	0.000	0.000	55.9	58.4	57.3	44.4
30	231.468	0.000	0.000	0.000	55.3	57.3	56.2	44.6
31	237.035	0.000	0.000	0.000	54.6	56.6	55.4	44.6
32	242.798	0.000	0.000	0.000	55.8	57.4	56.0	46.3
33	259.443	0.000	0.000	0.000	55.3	56.0	52.9	47.0
34	267.923	0.000	0.000	0.000	54.7	56.9	55.8	44.3
35	274.037	0.000	0.000	0.000	88.9	91.3	96.4	45.3
36	274.262	0.000	0.000	0.000	49.6	84.0	50.0	52.0
37	282.356	0.000	0.000	0.000	55.6	56.1	53.9	47.9
38	294.135	0.000	0.000	0.000	55.0	55.7	52.7	46.8
39	304.146	0.000	0.000	0.000	57.6	58.3	55.9	49.9
40	326.985	0.000	0.000	0.000	53.6	55.5	54.3	44.0
41	336.902	0.000	0.000	0.000	54.3	55.3	53.0	45.8
42	349.948	0.000	0.000	0.000	55.0	57.6	56.4	44.3
43	415.969	0.000	0.000	0.000	55.5	56.2	53.5	46.8
44	423.524	0.000	0.000	0.000	55.4	56.2	53.4	46.8
45	428.682	0.000	0.000	0.000	54.2	55.0	52.5	46.3
46	436.453	0.000	0.000	0.000	55.4	56.1	53.3	47.1
47	444.093	0.000	0.000	0.000	55.9	58.4	57.1	44.6
48	449.316	0.000	0.000	0.000	54.4	56.2	54.9	44.7
49	455.361	0.000	0.000	0.000	56.4	57.3	55.7	48.1
50	460.189	0.000	0.000	0.000	54.6	56.8	55.7	44.3
