Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	11.128	0.000	0.000	0.000	48.8	58.4	96.5	88.8
2	17.851	0.000	0.000	0.000	49.0	58.6	96.7	88.9
3	23.170	0.000	0.000	0.000	51.3	60.7	50.3	91.4
4	28.174	0.000	0.000	0.000	48.9	58.6	96.9	88.9
5	33.874	0.000	0.000	0.000	48.9	58.4	96.4	88.8
6	38.747	0.000	0.000	0.000	48.8	58.3	96.3	88.8
7	43.680	0.000	0.000	0.000	48.9	58.7	97.2	88.9
8	49.225	0.000	0.000	0.000	51.3	60.9	99.2	91.3
9	54.359	0.000	0.000	0.000	51.4	61.2	99.6	91.4
10	60.247	0.000	0.000	0.000	49.1	58.7	97.1	89.0
11	64.832	0.000	0.000	0.000	48.9	58.6	97.3	88.9
12	70.285	0.000	0.000	0.000	48.7	58.1	95.9	88.7
13	179.392	0.000	0.000	0.000	48.9	58.9	97.7	88.8
14	192.678	0.000	0.000	0.000	48.8	58.3	96.6	88.8
15	200.850	0.000	0.000	0.000	48.9	58.7	97.0	88.9
16	208.410	0.000	0.000	0.000	48.9	58.5	96.6	88.8
17	215.643	0.000	0.000	0.000	48.7	58.0	37.7	88.7
18	221.580	0.000	0.000	0.000	49.1	58.7	96.9	89.0
19	227.002	0.000	0.000	0.000	49.1	58.8	97.1	89.0
20	233.414	0.000	0.000	0.000	51.5	61.1	99.4	91.4
21	238.913	0.000	0.000	0.000	51.4	61.0	99.3	91.3
22	244.261	0.000	0.000	0.000	51.5	61.3	146.6	91.3
23	244.265	0.000	0.000	0.000	41.0	49.8	91.5	80.0
24	251.335	0.000	0.000	0.000	51.9	61.8	100.4	91.8
25	256.497	0.000	0.000	0.000	49.1	58.7	97.0	89.0
26	261.150	0.000	0.000	0.000	48.9	58.4	96.7	88.9
27	268.510	0.000	0.000	0.000	52.1	63.1	35.8	92.1
28	275.226	0.000	0.000	0.000	51.3	61.1	99.8	91.3
29	280.325	0.000	0.000	0.000	51.2	60.8	98.9	91.1
30	286.815	0.000	0.000	0.000	49.1	58.7	97.2	89.0
31	291.432	0.000	0.000	0.000	51.0	59.7	148.0	144.2
32	291.436	0.000	0.000	0.000	67.9	107.4	106.9	73.4
33	291.440	0.000	0.000	0.000	25.0	37.6	67.8	26.7
34	298.023	0.000	0.000	0.000	51.6	61.3	99.8	91.5
35	304.410	0.000	0.000	0.000	51.6	60.8	98.6	91.7
36	310.042	0.000	0.000	0.000	51.8	61.7	100.6	91.8
37	316.600	0.000	0.000	0.000	51.4	61.0	99.3	91.4
38	321.467	0.000	0.000	0.000	51.5	61.2	99.7	91.5
39	334.276	0.000	0.000	0.000	51.6	61.3	99.6	91.4
40	339.040	0.000	0.000	0.000	51.3	60.7	98.8	91.3
41	344.356	0.000	0.000	0.000	51.5	61.0	111.3	173.4
42	344.361	0.000	0.000	0.000	64.6	107.5	105.5	73.9
43	350.235	0.000	0.000	0.000	52.7	62.6	101.3	92.7
44	355.282	0.000	0.000	0.000	52.0	94.8	98.5	234.4
45	355.286	0.000	0.000	0.000	49.1	58.5	60.0	89.3
46	361.894	0.000	0.000	0.000	52.4	62.6	101.7	92.4
47	378.630	0.000	0.000	0.000	51.2	60.8	99.3	91.2
48	383.389	0.000	0.000	0.000	48.8	58.3	96.5	88.8
49	387.532	0.000	0.000	0.000	51.5	61.2	99.7	91.5
50	392.202	0.000	0.000	0.000	51.7	61.4	100.0	91.7
51	396.208	0.000	0.000	0.000	51.4	61.0	99.3	91.3
52	401.754	0.000	0.000	0.000	51.5	61.1	150.7	91.5
53	401.758	0.000	0.000	0.000	47.6	105.4	103.5	79.0
