Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	7.393	0.000	0.000	0.000	318.7	26.2	313.4	408.5
2	25.171	0.000	0.000	0.000	77.0	29.0	170.8	27.3
3	31.036	0.000	0.000	0.000	78.1	229.7	257.3	30.2
4	47.411	0.000	0.000	0.000	76.8	25.9	166.6	407.4
5	53.899	0.000	0.000	0.000	77.5	26.7	168.9	25.8
6	64.127	0.000	0.000	0.000	76.4	28.1	170.1	26.6
7	74.743	0.000	0.000	0.000	76.3	27.9	169.5	26.4
8	83.121	0.000	0.000	0.000	77.0	29.0	205.6	27.8
9	90.470	0.000	0.000	0.000	198.8	27.2	171.8	24.6
10	97.634	0.000	0.000	0.000	76.8	29.4	284.0	27.3
11	105.098	0.000	0.000	0.000	76.5	27.8	169.2	26.3
12	112.444	0.000	0.000	0.000	76.9	28.5	382.8	27.4
13	119.621	0.000	0.000	0.000	76.5	27.9	169.8	26.7
14	125.968	0.000	0.000	0.000	77.4	28.0	169.8	27.6
15	132.504	0.000	0.000	0.000	75.5	26.2	167.7	24.4
16	141.648	0.000	0.000	0.000	77.3	28.6	170.8	27.3
17	149.114	0.000	0.000	0.000	75.9	26.0	115.6	407.5
18	163.331	0.000	0.000	0.000	285.6	163.0	249.1	182.6
19	171.813	0.000	0.000	0.000	77.0	27.1	169.1	406.1
20	179.622	0.000	0.000	0.000	76.3	26.9	168.6	25.8
21	188.416	0.000	0.000	0.000	77.1	25.4	167.1	408.0
22	194.665	0.000	0.000	0.000	76.6	27.5	169.1	26.2
23	200.472	0.000	0.000	0.000	77.2	28.1	176.8	28.0
24	208.712	0.000	0.000	0.000	77.8	27.0	312.6	402.7
25	215.668	0.000	0.000	0.000	76.2	27.5	353.4	405.6
26	222.458	0.000	0.000	0.000	77.3	27.1	177.4	27.8
27	231.344	0.000	0.000	0.000	76.3	26.6	170.4	408.4
28	238.382	0.000	0.000	0.000	77.3	216.1	351.8	405.6
29	248.163	0.000	0.000	0.000	77.3	28.5	170.5	27.3
30	261.740	0.000	0.000	0.000	77.3	28.5	215.9	27.0
31	457.727	0.000	0.000	0.000	80.2	33.1	173.0	31.0
32	465.831	0.000	0.000	0.000	244.1	191.7	332.2	219.2
33	476.755	0.000	0.000	0.000	198.6	159.6	245.4	406.8
34	492.912	0.000	0.000	0.000	296.7	171.1	312.6	197.6
35	500.816	0.000	0.000	0.000	82.0	31.5	172.0	61.3
36	509.795	0.000	0.000	0.000	75.1	378.1	398.5	406.0
37	519.668	0.000	0.000	0.000	73.5	22.5	163.7	406.7
38	529.064	0.000	0.000	0.000	378.7	330.7	368.4	338.2
39	537.324	0.000	0.000	0.000	395.2	355.7	386.6	360.0
40	544.472	0.000	0.000	0.000	76.4	24.3	165.5	407.7
41	552.775	0.000	0.000	0.000	76.4	26.0	168.9	408.5
42	559.634	0.000	0.000	0.000	82.3	34.2	177.1	33.6
43	571.950	0.000	0.000	0.000	84.1	31.7	206.5	60.0
44	577.365	0.000	0.000	0.000	153.2	107.5	247.4	135.6
45	583.289	0.000	0.000	0.000	76.4	27.9	170.7	26.7
46	598.628	0.000	0.000	0.000	277.2	222.7	253.0	53.3
47	605.023	0.000	0.000	0.000	200.1	159.1	283.4	161.4
48	605.026	0.000	0.000	0.000	15.6	26.8	114.0	286.5
49	611.416	0.000	0.000	0.000	76.8	28.0	121.2	27.9
50	616.791	0.000	0.000	0.000	76.3	25.4	166.9	407.7
51	623.932	0.000	0.000	0.000	76.8	365.8	397.9	406.7
