Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	5.234	0.000	0.000	0.000	83.6	29.1	170.0	55.7
2	12.554	0.000	0.000	0.000	82.6	28.0	168.6	54.9
3	20.221	0.000	0.000	0.000	82.7	28.0	168.6	54.7
4	29.591	0.000	0.000	0.000	230.5	27.5	167.9	55.5
5	38.366	0.000	0.000	0.000	87.3	32.5	172.8	59.7
6	48.805	0.000	0.000	0.000	84.4	30.6	170.5	57.4
7	55.153	0.000	0.000	0.000	84.6	29.9	172.6	56.3
8	63.527	0.000	0.000	0.000	85.2	31.4	170.9	57.8
9	69.120	0.000	0.000	0.000	82.5	28.1	168.9	54.9
10	77.204	0.000	0.000	0.000	82.7	28.4	169.5	54.7
11	84.309	0.000	0.000	0.000	82.4	27.7	168.3	54.3
12	90.697	0.000	0.000	0.000	82.3	27.7	168.4	54.3
13	97.034	0.000	0.000	0.000	82.8	28.3	169.1	54.8
14	104.751	0.000	0.000	0.000	83.4	28.8	168.4	56.7
15	112.005	0.000	0.000	0.000	85.5	32.1	171.6	57.5
16	117.053	0.000	0.000	0.000	82.5	27.6	167.6	54.9
17	123.492	0.000	0.000	0.000	82.4	27.7	168.5	53.8
18	140.067	0.000	0.000	0.000	81.4	60.2	164.9	52.6
19	146.055	0.000	0.000	0.000	222.9	166.4	201.2	246.4
20	146.058	0.000	0.000	0.000	79.5	267.8	304.7	353.4
21	152.872	0.000	0.000	0.000	81.4	62.3	165.8	52.2
22	159.297	0.000	0.000	0.000	82.9	65.1	169.2	54.2
23	165.208	0.000	0.000	0.000	82.9	64.7	168.8	54.2
24	171.521	0.000	0.000	0.000	323.1	279.7	167.6	301.1
25	177.399	0.000	0.000	0.000	83.3	28.2	210.2	110.7
26	177.402	0.000	0.000	0.000	104.8	48.6	166.4	102.4
27	183.334	0.000	0.000	0.000	83.0	27.9	168.2	55.7
28	190.693	0.000	0.000	0.000	82.4	27.3	167.2	54.5
29	197.172	0.000	0.000	0.000	82.4	27.4	167.7	54.6
30	203.829	0.000	0.000	0.000	81.6	27.9	169.0	53.6
31	210.996	0.000	0.000	0.000	84.2	30.1	171.6	56.3
32	217.199	0.000	0.000	0.000	83.8	29.4	170.6	55.4
33	227.544	0.000	0.000	0.000	82.4	64.9	168.0	53.6
34	234.198	0.000	0.000	0.000	81.8	27.6	168.5	53.4
35	240.523	0.000	0.000	0.000	83.2	67.3	169.4	54.5
36	247.287	0.000	0.000	0.000	83.2	65.6	168.7	54.6
37	260.753	0.000	0.000	0.000	82.1	63.4	167.6	54.0
38	267.451	0.000	0.000	0.000	82.9	28.6	169.8	54.7
39	274.217	0.000	0.000	0.000	83.5	28.9	169.9	55.0
40	279.337	0.000	0.000	0.000	82.3	65.7	168.2	53.7
41	284.478	0.000	0.000	0.000	81.8	27.3	168.2	53.4
42	289.553	0.000	0.000	0.000	82.4	66.4	168.6	53.7
43	294.644	0.000	0.000	0.000	82.9	66.3	168.6	53.9
44	299.622	0.000	0.000	0.000	82.5	27.6	168.2	54.2
45	305.944	0.000	0.000	0.000	84.2	30.0	171.5	56.1
46	318.721	0.000	0.000	0.000	82.5	27.4	167.6	54.4
47	324.618	0.000	0.000	0.000	83.2	67.3	169.6	53.6
48	329.969	0.000	0.000	0.000	82.7	27.7	167.6	54.6
49	335.065	0.000	0.000	0.000	80.8	26.0	166.7	52.6
50	341.261	0.000	0.000	0.000	82.5	63.1	167.6	54.3
