Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	7.972	0.000	0.000	0.000	79.3	59.1	130.2	57.3
2	17.962	0.000	0.000	0.000	78.9	57.9	129.4	57.1
3	23.984	0.000	0.000	0.000	78.7	58.1	129.5	56.8
4	31.539	0.000	0.000	0.000	78.7	58.3	129.4	56.5
5	36.899	0.000	0.000	0.000	78.9	58.0	129.4	56.8
6	42.399	0.000	0.000	0.000	79.6	58.8	130.1	57.7
7	47.915	0.000	0.000	0.000	79.6	58.6	130.2	57.8
8	56.983	0.000	0.000	0.000	79.2	59.0	130.3	57.2
9	77.752	0.000	0.000	0.000	79.6	58.8	130.2	57.8
10	83.364	0.000	0.000	0.000	79.5	59.1	130.2	406.4
11	87.793	0.000	0.000	0.000	78.7	57.9	211.7	290.3
12	87.796	0.000	0.000	0.000	33.9	20.6	90.1	1.0
13	93.357	0.000	0.000	0.000	79.4	58.8	130.2	57.6
14	98.410	0.000	0.000	0.000	79.4	58.8	130.2	57.5
15	103.535	0.000	0.000	0.000	79.6	58.8	130.2	389.3
16	108.600	0.000	0.000	0.000	78.9	57.5	129.7	57.5
17	118.820	0.000	0.000	0.000	79.6	58.9	130.3	57.6
18	123.507	0.000	0.000	0.000	79.6	58.9	130.2	57.6
19	129.945	0.000	0.000	0.000	79.2	59.1	130.2	57.2
20	135.583	0.000	0.000	0.000	79.6	58.6	130.2	57.7
21	141.000	0.000	0.000	0.000	78.7	57.8	129.6	57.2
22	147.109	0.000	0.000	0.000	78.3	58.1	315.3	197.0
23	147.115	0.000	0.000	0.000	72.1	31.3	81.7	386.2
24	161.754	0.000	0.000	0.000	79.3	58.3	130.3	57.9
25	166.980	0.000	0.000	0.000	78.5	58.1	129.5	56.8
26	172.444	0.000	0.000	0.000	79.4	59.0	130.2	57.4
27	177.143	0.000	0.000	0.000	78.8	57.5	129.6	57.5
28	181.039	0.000	0.000	0.000	78.7	58.1	129.5	56.8
29	185.736	0.000	0.000	0.000	79.4	58.8	130.2	57.5
30	190.891	0.000	0.000	0.000	78.7	58.1	129.5	56.9
31	195.012	0.000	0.000	0.000	79.3	58.9	130.2	57.4
32	200.010	0.000	0.000	0.000	79.4	58.8	130.2	57.6
33	204.386	0.000	0.000	0.000	79.3	58.9	130.2	57.5
34	208.858	0.000	0.000	0.000	78.5	58.1	129.4	56.9
35	213.394	0.000	0.000	0.000	78.7	57.8	129.6	57.0
36	219.175	0.000	0.000	0.000	78.8	59.0	130.3	403.2
37	231.965	0.000	0.000	0.000	79.1	59.0	130.1	57.4
38	236.717	0.000	0.000	0.000	79.1	59.1	130.2	57.4
39	243.318	0.000	0.000	0.000	79.3	58.8	130.2	57.5
40	249.364	0.000	0.000	0.000	78.8	57.7	129.5	57.2
41	255.504	0.000	0.000	0.000	79.4	58.9	130.2	57.5
42	261.136	0.000	0.000	0.000	79.0	58.9	130.3	57.3
43	270.434	0.000	0.000	0.000	78.7	58.1	129.5	56.9
44	281.475	0.000	0.000	0.000	78.3	58.3	129.5	56.5
45	285.685	0.000	0.000	0.000	78.3	58.1	317.7	200.3
46	291.166	0.000	0.000	0.000	77.4	59.2	130.1	106.0
47	295.940	0.000	0.000	0.000	78.3	58.1	129.4	56.8
48	300.364	0.000	0.000	0.000	78.4	58.1	129.6	56.8
49	307.581	0.000	0.000	0.000	73.7	59.3	130.2	105.7
50	312.477	0.000	0.000	0.000	75.2	59.3	129.9	105.9
51	323.611	0.000	0.000	0.000	78.9	57.3	129.5	57.7
