Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	14.060	0.000	0.000	0.000	52.0	52.0	101.1	43.1
2	21.165	0.000	0.000	0.000	51.9	52.4	49.1	43.1
3	33.947	0.000	0.000	0.000	54.9	55.4	53.1	45.9
4	40.636	0.000	0.000	0.000	51.7	52.6	50.1	42.7
5	50.885	0.000	0.000	0.000	51.7	52.5	49.6	42.7
6	57.358	0.000	0.000	0.000	51.9	52.7	50.0	43.0
7	63.440	0.000	0.000	0.000	51.7	52.3	49.4	42.7
8	69.414	0.000	0.000	0.000	51.9	52.7	50.0	42.9
9	74.382	0.000	0.000	0.000	51.9	52.7	50.1	42.8
10	81.004	0.000	0.000	0.000	54.8	55.7	53.2	45.8
11	86.277	0.000	0.000	0.000	53.2	54.4	51.7	44.3
12	91.969	0.000	0.000	0.000	53.1	54.1	52.7	43.2
13	112.526	0.000	0.000	0.000	52.0	53.0	50.3	43.2
14	123.873	0.000	0.000	0.000	51.7	52.4	51.0	42.0
15	130.413	0.000	0.000	0.000	51.7	52.3	49.0	42.8
16	136.403	0.000	0.000	0.000	54.9	55.6	53.1	45.9
17	142.135	0.000	0.000	0.000	54.0	54.3	102.4	42.1
18	162.732	0.000	0.000	0.000	51.7	52.5	49.3	42.8
19	169.404	0.000	0.000	0.000	51.9	52.7	49.9	43.1
20	174.673	0.000	0.000	0.000	51.9	52.6	50.2	43.0
21	180.386	0.000	0.000	0.000	53.0	54.1	52.0	43.8
22	186.353	0.000	0.000	0.000	51.9	52.9	50.3	43.1
23	194.803	0.000	0.000	0.000	51.3	51.9	48.6	42.8
24	203.497	0.000	0.000	0.000	54.9	53.5	37.4	47.8
25	209.033	0.000	0.000	0.000	52.1	53.0	50.2	43.2
26	215.573	0.000	0.000	0.000	52.7	53.6	50.9	43.7
27	220.254	0.000	0.000	0.000	52.9	54.0	51.4	44.0
28	227.350	0.000	0.000	0.000	52.0	53.0	50.1	43.2
29	232.471	0.000	0.000	0.000	51.8	51.3	101.5	43.7
30	237.736	0.000	0.000	0.000	49.2	48.6	99.1	41.2
31	243.378	0.000	0.000	0.000	51.8	51.7	101.4	43.5
32	249.691	0.000	0.000	0.000	51.8	51.3	101.5	43.8
33	264.803	0.000	0.000	0.000	53.1	53.8	52.8	43.1
34	271.291	0.000	0.000	0.000	53.2	54.1	101.4	42.1
35	276.976	0.000	0.000	0.000	52.0	52.3	50.1	42.6
36	283.301	0.000	0.000	0.000	51.8	52.1	49.2	42.8
37	289.942	0.000	0.000	0.000	52.4	53.4	49.4	43.9
38	295.906	0.000	0.000	0.000	54.9	55.5	53.3	45.8
39	302.005	0.000	0.000	0.000	384.2	409.5	409.5	398.2
40	308.129	0.000	0.000	0.000	51.8	51.7	101.7	43.4
41	313.980	0.000	0.000	0.000	51.7	51.6	101.5	43.3
42	320.994	0.000	0.000	0.000	51.8	52.2	50.2	42.4
43	326.547	0.000	0.000	0.000	54.0	54.4	102.5	42.0
44	331.450	0.000	0.000	0.000	51.4	52.2	49.0	42.9
45	346.968	0.000	0.000	0.000	51.9	52.7	49.8	42.9
46	351.478	0.000	0.000	0.000	52.9	53.8	51.1	44.0
47	356.468	0.000	0.000	0.000	55.2	56.2	53.6	46.3
48	369.186	0.000	0.000	0.000	51.9	52.7	50.3	42.8
49	374.415	0.000	0.000	0.000	55.3	56.6	53.9	46.3
50	390.530	0.000	0.000	0.000	52.8	53.7	51.2	43.7
