Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	7.435	0.000	0.000	0.000	107.0	77.2	108.5	46.0
2	10.644	0.000	0.000	0.000	102.4	71.6	104.0	40.4
3	15.019	0.000	0.000	0.000	101.7	71.2	103.2	39.9
4	19.733	0.000	0.000	0.000	101.4	71.0	102.7	39.6
5	23.899	0.000	0.000	0.000	102.0	71.4	103.5	40.1
6	48.035	0.000	0.000	0.000	108.9	78.9	111.5	48.0
7	56.802	0.000	0.000	0.000	111.0	81.4	112.6	50.3
8	60.659	0.000	0.000	0.000	104.2	74.1	105.5	42.6
9	65.405	0.000	0.000	0.000	109.0	77.9	111.3	45.9
10	69.335	0.000	0.000	0.000	108.3	79.0	109.4	47.4
11	74.050	0.000	0.000	0.000	107.5	77.5	109.2	46.5
12	78.863	0.000	0.000	0.000	107.3	76.6	109.4	44.9
13	83.688	0.000	0.000	0.000	112.2	82.4	113.7	50.6
14	88.779	0.000	0.000	0.000	110.7	80.7	112.9	50.1
15	99.649	0.000	0.000	0.000	108.1	78.0	110.0	47.1
16	104.715	0.000	0.000	0.000	104.9	74.4	106.7	43.2
17	109.878	0.000	0.000	0.000	109.7	79.1	111.2	47.8
18	114.645	0.000	0.000	0.000	108.2	77.9	109.8	46.8
19	120.297	0.000	0.000	0.000	117.6	86.9	119.2	55.2
20	135.213	0.000	0.000	0.000	110.9	80.9	112.6	49.9
21	139.170	0.000	0.000	0.000	108.2	78.0	110.4	47.2
22	143.663	0.000	0.000	0.000	109.2	78.9	110.2	47.7
23	154.854	0.000	0.000	0.000	110.6	80.9	111.7	49.3
24	159.252	0.000	0.000	0.000	107.3	77.4	109.1	46.5
25	164.182	0.000	0.000	0.000	104.7	74.1	106.6	43.0
26	168.538	0.000	0.000	0.000	107.8	77.7	109.5	46.5
27	172.694	0.000	0.000	0.000	109.9	79.7	111.4	48.2
28	177.455	0.000	0.000	0.000	107.8	77.9	109.5	46.6
29	182.051	0.000	0.000	0.000	114.2	84.1	116.0	53.4
30	186.876	0.000	0.000	0.000	315.8	288.5	109.4	254.7
31	193.590	0.000	0.000	0.000	112.7	82.0	114.8	50.3
32	199.347	0.000	0.000	0.000	107.6	77.9	109.5	46.6
33	203.435	0.000	0.000	0.000	108.4	77.8	110.1	46.7
34	215.697	0.000	0.000	0.000	109.5	80.0	110.0	47.7
35	219.063	0.000	0.000	0.000	110.2	80.4	111.6	49.0
36	222.643	0.000	0.000	0.000	101.2	70.7	102.1	39.2
37	226.826	0.000	0.000	0.000	107.7	77.9	109.7	46.9
38	231.231	0.000	0.000	0.000	107.7	77.9	109.5	46.7
39	235.376	0.000	0.000	0.000	110.3	80.5	111.7	49.3
40	240.070	0.000	0.000	0.000	111.0	80.4	111.5	48.7
41	252.068	0.000	0.000	0.000	109.8	79.2	111.6	47.6
42	259.259	0.000	0.000	0.000	110.0	80.0	111.7	49.0
43	263.737	0.000	0.000	0.000	111.0	81.1	111.4	49.0
44	267.534	0.000	0.000	0.000	107.7	77.7	109.4	46.5
45	271.440	0.000	0.000	0.000	104.9	75.1	106.5	43.7
46	275.766	0.000	0.000	0.000	102.5	72.4	103.9	41.0
47	279.313	0.000	0.000	0.000	101.3	70.8	102.5	39.5
48	283.295	0.000	0.000	0.000	109.9	78.9	110.3	47.0
49	287.321	0.000	0.000	0.000	110.2	80.4	111.5	49.2
50	290.888	0.000	0.000	0.000	110.9	80.9	112.9	50.1
