Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	111.659	0.000	0.000	0.000	116.8	91.4	115.8	64.7
2	111.682	0.000	0.000	0.000	21.9	294.6	294.6	171.9
3	125.831	0.000	0.000	0.000	114.7	89.5	112.6	62.1
4	130.108	0.000	0.000	0.000	116.1	90.1	112.4	64.8
5	134.019	0.000	0.000	0.000	115.6	89.9	112.4	63.6
6	138.319	0.000	0.000	0.000	113.1	88.3	111.0	60.7
7	142.008	0.000	0.000	0.000	116.2	90.7	112.7	64.5
8	146.867	0.000	0.000	0.000	115.6	89.9	112.3	63.9
9	161.728	0.000	0.000	0.000	114.4	88.4	111.4	172.6
10	168.154	0.000	0.000	0.000	115.9	90.5	112.5	63.9
11	174.693	0.000	0.000	0.000	117.1	91.7	114.7	64.0
12	181.352	0.000	0.000	0.000	115.8	90.0	112.5	64.1
13	188.061	0.000	0.000	0.000	108.5	85.6	107.3	56.5
14	198.433	0.000	0.000	0.000	113.1	88.8	110.7	61.2
15	204.064	0.000	0.000	0.000	116.9	91.9	114.3	63.5
16	204.067	0.000	0.000	0.000	95.7	272.9	268.1	153.4
17	209.551	0.000	0.000	0.000	115.9	90.5	112.7	64.0
18	213.880	0.000	0.000	0.000	115.4	89.6	112.1	63.7
19	219.066	0.000	0.000	0.000	117.0	92.4	114.3	63.3
20	219.070	0.000	0.000	0.000	138.4	331.4	271.0	228.4
21	226.083	0.000	0.000	0.000	113.6	88.3	111.3	61.7
22	226.106	0.000	0.000	0.000	70.1	330.0	223.3	5.3
23	230.689	0.000	0.000	0.000	114.4	89.5	111.8	62.5
24	234.930	0.000	0.000	0.000	112.5	120.1	186.7	251.8
25	234.933	0.000	0.000	0.000	262.8	240.2	380.7	254.6
26	241.627	0.000	0.000	0.000	116.9	91.6	113.9	63.9
27	241.630	0.000	0.000	0.000	76.9	71.8	7.8	60.8
28	248.213	0.000	0.000	0.000	116.7	91.3	114.8	63.8
29	253.536	0.000	0.000	0.000	118.3	92.6	115.8	64.8
30	253.539	0.000	0.000	0.000	264.2	269.6	207.9	163.4
31	260.939	0.000	0.000	0.000	117.3	92.1	116.3	63.6
32	276.421	0.000	0.000	0.000	116.0	90.2	112.6	64.4
33	281.355	0.000	0.000	0.000	113.9	89.3	111.4	61.7
34	286.664	0.000	0.000	0.000	112.7	88.7	110.7	60.6
35	291.398	0.000	0.000	0.000	115.6	90.1	112.8	63.6
36	296.963	0.000	0.000	0.000	117.3	92.4	114.7	63.6
37	296.966	0.000	0.000	0.000	139.1	331.6	271.4	228.6
38	301.955	0.000	0.000	0.000	113.1	87.8	111.5	61.2
39	307.046	0.000	0.000	0.000	114.5	88.9	111.7	62.7
40	313.159	0.000	0.000	0.000	117.4	92.6	136.9	63.2
41	313.162	0.000	0.000	0.000	140.5	331.7	271.0	153.6
42	317.920	0.000	0.000	0.000	117.8	92.1	115.8	64.2
43	323.741	0.000	0.000	0.000	117.9	92.0	115.2	64.9
44	340.814	0.000	0.000	0.000	116.7	218.6	112.7	183.0
45	340.818	0.000	0.000	0.000	109.4	15.8	267.0	33.5
46	347.023	0.000	0.000	0.000	118.5	93.2	136.0	63.8
47	347.025	0.000	0.000	0.000	77.1	395.6	207.2	87.2
48	351.785	0.000	0.000	0.000	117.1	91.8	114.5	64.1
49	357.313	0.000	0.000	0.000	116.8	91.4	114.1	64.0
50	363.033	0.000	0.000	0.000	115.6	89.6	112.2	64.0
51	368.247	0.000	0.000	0.000	113.8	88.8	111.9	61.5
52	373.533	0.000	0.000	0.000	117.9	92.4	116.0	64.2
