Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	72.002	0.000	0.000	0.000	70.1	58.6	129.2	104.0
2	76.702	0.000	0.000	0.000	76.3	58.2	129.4	104.9
3	80.570	0.000	0.000	0.000	76.4	58.2	129.4	363.0
4	84.451	0.000	0.000	0.000	76.8	58.2	129.6	363.2
5	87.793	0.000	0.000	0.000	157.6	58.1	213.8	105.5
6	87.799	0.000	0.000	0.000	16.6	5.7	40.6	136.0
7	95.338	0.000	0.000	0.000	71.2	58.4	129.2	104.3
8	100.630	0.000	0.000	0.000	76.7	58.0	129.5	362.9
9	105.255	0.000	0.000	0.000	77.0	58.0	129.4	363.0
10	110.167	0.000	0.000	0.000	72.6	58.5	129.3	104.4
11	118.623	0.000	0.000	0.000	75.5	58.2	129.3	362.6
12	123.909	0.000	0.000	0.000	76.3	58.2	129.5	363.1
13	127.653	0.000	0.000	0.000	76.6	58.2	129.5	363.1
14	132.496	0.000	0.000	0.000	77.2	57.9	129.5	363.1
15	138.052	0.000	0.000	0.000	74.4	56.4	127.6	359.3
16	142.718	0.000	0.000	0.000	77.4	57.5	129.3	363.2
17	147.332	0.000	0.000	0.000	76.9	56.9	128.9	364.8
18	147.340	0.000	0.000	0.000	29.7	7.2	44.3	312.2
19	153.315	0.000	0.000	0.000	77.0	57.9	129.5	363.0
20	153.366	0.000	0.000	0.000	92.7	23.1	112.7	25.7
21	159.945	0.000	0.000	0.000	80.7	52.7	97.9	367.9
22	167.436	0.000	0.000	0.000	75.8	56.1	127.9	361.6
23	174.179	0.000	0.000	0.000	77.4	56.6	129.1	363.3
24	191.993	0.000	0.000	0.000	75.5	56.1	127.8	361.4
25	197.086	0.000	0.000	0.000	76.2	56.0	128.0	361.9
26	202.251	0.000	0.000	0.000	73.0	58.4	129.3	104.5
27	209.902	0.000	0.000	0.000	72.7	58.4	129.3	104.5
28	214.524	0.000	0.000	0.000	76.5	58.3	129.6	363.1
29	219.530	0.000	0.000	0.000	76.5	58.1	129.4	363.0
30	224.206	0.000	0.000	0.000	69.6	58.6	129.4	104.0
31	227.800	0.000	0.000	0.000	69.5	58.5	129.3	104.1
32	235.871	0.000	0.000	0.000	75.0	58.3	129.3	104.6
33	241.427	0.000	0.000	0.000	76.0	56.2	128.0	361.8
34	246.173	0.000	0.000	0.000	76.5	55.4	128.2	362.7
35	252.612	0.000	0.000	0.000	75.4	58.1	129.3	104.8
36	257.964	0.000	0.000	0.000	69.3	51.7	123.0	98.3
37	262.750	0.000	0.000	0.000	76.1	56.1	128.0	361.9
38	282.310	0.000	0.000	0.000	72.6	58.5	129.3	104.4
39	286.891	0.000	0.000	0.000	75.9	58.1	129.3	104.6
40	292.425	0.000	0.000	0.000	76.3	58.2	129.5	362.9
41	301.362	0.000	0.000	0.000	77.3	57.7	129.5	363.2
42	306.493	0.000	0.000	0.000	74.6	56.3	127.7	362.7
43	311.431	0.000	0.000	0.000	76.0	56.1	128.0	361.8
44	315.302	0.000	0.000	0.000	76.0	55.9	127.9	361.8
45	319.517	0.000	0.000	0.000	74.6	56.4	127.8	361.2
46	332.158	0.000	0.000	0.000	73.0	58.4	129.3	104.5
47	336.827	0.000	0.000	0.000	77.7	56.5	129.2	363.5
48	342.743	0.000	0.000	0.000	68.6	51.8	122.0	351.5
49	342.748	0.000	0.000	0.000	49.5	34.2	148.4	27.5
50	444.945	0.000	0.000	0.000	69.3	58.6	129.2	104.0
51	453.695	0.000	0.000	0.000	75.8	56.0	127.9	361.7
52	458.071	0.000	0.000	0.000	74.6	58.2	129.2	104.5
53	461.724	0.000	0.000	0.000	75.1	56.1	127.7	361.4
