Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	63.975	0.000	0.000	0.000	60.7	63.7	34.2	100.9
2	79.522	0.000	0.000	0.000	58.6	59.7	56.4	47.5
3	83.507	0.000	0.000	0.000	59.8	60.7	35.4	52.9
4	272.037	0.000	0.000	0.000	58.4	59.2	54.2	48.9
5	292.111	0.000	0.000	0.000	60.6	62.1	59.2	50.1
6	292.114	0.000	0.000	0.000	306.0	8.4	72.5	33.1
7	292.130	0.000	0.000	0.000	24.9	168.6	86.8	50.5
8	292.133	0.000	0.000	0.000	25.4	332.5	307.5	5.8
9	315.374	0.000	0.000	0.000	54.4	53.7	102.7	44.1
10	320.990	0.000	0.000	0.000	56.0	58.8	104.3	46.1
11	324.890	0.000	0.000	0.000	58.0	60.4	107.0	49.5
12	328.174	0.000	0.000	0.000	59.0	61.6	57.8	50.4
13	331.675	0.000	0.000	0.000	56.1	56.7	104.3	46.2
14	335.234	0.000	0.000	0.000	57.1	60.6	55.4	47.8
15	338.735	0.000	0.000	0.000	57.8	60.4	53.8	49.4
16	342.121	0.000	0.000	0.000	57.2	58.9	31.2	48.6
17	345.421	0.000	0.000	0.000	57.6	59.6	30.1	48.4
18	368.629	0.000	0.000	0.000	55.7	57.8	54.1	46.9
19	374.388	0.000	0.000	0.000	54.7	47.9	96.6	51.2
20	378.330	0.000	0.000	0.000	56.9	60.7	56.5	47.3
21	382.263	0.000	0.000	0.000	58.8	61.1	55.9	49.1
22	387.052	0.000	0.000	0.000	59.7	60.9	56.1	50.7
23	391.391	0.000	0.000	0.000	54.9	55.5	103.6	44.3
24	395.333	0.000	0.000	0.000	57.0	58.2	32.2	45.9
25	400.405	0.000	0.000	0.000	58.5	59.8	108.1	51.0
26	404.853	0.000	0.000	0.000	58.0	60.4	106.8	48.1
27	409.508	0.000	0.000	0.000	58.7	61.6	107.5	48.7
28	415.119	0.000	0.000	0.000	58.9	61.3	58.2	47.2
29	433.777	0.000	0.000	0.000	60.4	60.9	35.1	49.8
30	439.217	0.000	0.000	0.000	59.3	58.8	107.2	52.1
31	439.220	0.000	0.000	0.000	80.7	8.4	166.5	9.9
32	443.951	0.000	0.000	0.000	57.3	55.3	35.5	54.4
33	448.030	0.000	0.000	0.000	57.0	55.0	33.7	52.1
34	453.119	0.000	0.000	0.000	58.8	58.3	32.7	53.3
35	457.837	0.000	0.000	0.000	58.8	60.2	53.6	51.9
36	470.650	0.000	0.000	0.000	59.3	61.2	55.4	52.7
37	475.489	0.000	0.000	0.000	57.9	58.2	32.8	51.6
38	479.561	0.000	0.000	0.000	60.8	60.6	111.1	54.7
39	483.473	0.000	0.000	0.000	61.3	63.3	58.0	53.2
40	497.600	0.000	0.000	0.000	58.0	57.2	34.6	50.7
41	497.603	0.000	0.000	0.000	121.4	391.2	50.1	290.4
42	497.630	0.000	0.000	0.000	24.9	26.1	23.0	18.3
43	502.438	0.000	0.000	0.000	60.1	57.9	108.6	51.4
44	508.775	0.000	0.000	0.000	57.8	60.4	56.7	49.6
45	514.140	0.000	0.000	0.000	57.2	56.7	31.9	53.0
46	518.618	0.000	0.000	0.000	58.4	58.0	108.0	53.2
47	523.731	0.000	0.000	0.000	57.2	55.9	33.3	52.5
48	536.184	0.000	0.000	0.000	58.8	59.3	31.3	53.1
49	539.786	0.000	0.000	0.000	60.0	62.5	57.1	50.5
50	543.484	0.000	0.000	0.000	56.1	55.8	105.2	44.5
