Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	26.701	0.000	0.000	0.000	52.7	64.1	102.9	93.4
2	35.853	0.000	0.000	0.000	51.7	61.9	100.5	91.8
3	42.453	0.000	0.000	0.000	51.5	61.0	99.6	91.6
4	49.333	0.000	0.000	0.000	52.1	62.0	100.8	92.2
5	49.350	0.000	0.000	0.000	24.8	24.8	23.8	16.0
6	57.666	0.000	0.000	0.000	51.7	61.4	100.0	91.7
7	65.698	0.000	0.000	0.000	51.2	60.8	99.7	91.3
8	73.414	0.000	0.000	0.000	51.7	60.9	99.7	91.9
9	84.790	0.000	0.000	0.000	51.5	61.1	100.5	91.9
10	92.631	0.000	0.000	0.000	51.4	60.8	99.3	91.3
11	101.433	0.000	0.000	0.000	51.5	61.5	100.3	91.6
12	112.681	0.000	0.000	0.000	51.5	61.2	99.9	91.5
13	125.443	0.000	0.000	0.000	49.0	58.5	96.3	88.7
14	135.946	0.000	0.000	0.000	57.9	66.7	51.6	62.1
15	156.285	0.000	0.000	0.000	49.0	58.1	95.3	88.8
16	165.127	0.000	0.000	0.000	48.5	57.4	44.3	88.5
17	172.351	0.000	0.000	0.000	48.3	57.1	41.6	52.3
18	180.753	0.000	0.000	0.000	48.3	57.1	40.6	52.3
19	188.875	0.000	0.000	0.000	46.7	55.8	30.2	50.4
20	198.430	0.000	0.000	0.000	48.2	57.0	41.1	52.2
21	205.672	0.000	0.000	0.000	48.0	56.8	38.2	51.9
22	214.019	0.000	0.000	0.000	51.1	59.5	114.9	89.6
23	214.025	0.000	0.000	0.000	44.6	49.0	46.5	105.5
24	225.732	0.000	0.000	0.000	48.3	57.1	43.0	52.5
25	231.972	0.000	0.000	0.000	48.5	57.6	41.4	88.4
26	231.989	0.000	0.000	0.000	5.9	3.8	8.3	11.3
27	238.983	0.000	0.000	0.000	48.5	57.5	44.2	88.4
28	238.991	0.000	0.000	0.000	22.8	33.2	100.3	58.6
29	246.507	0.000	0.000	0.000	48.3	57.1	40.6	52.2
30	256.706	0.000	0.000	0.000	92.1	62.3	85.2	94.3
31	256.713	0.000	0.000	0.000	58.4	66.8	45.2	61.9
32	270.909	0.000	0.000	0.000	48.0	56.9	39.8	52.2
33	303.145	0.000	0.000	0.000	47.6	56.7	30.1	51.0
34	311.890	0.000	0.000	0.000	48.4	57.4	44.1	88.4
35	320.049	0.000	0.000	0.000	48.1	57.0	38.5	52.0
36	326.643	0.000	0.000	0.000	48.0	57.0	39.9	52.1
37	335.174	0.000	0.000	0.000	47.6	56.7	37.7	51.4
38	335.185	0.000	0.000	0.000	75.7	52.9	68.6	79.5
39	343.064	0.000	0.000	0.000	48.4	57.4	43.4	52.5
40	343.076	0.000	0.000	0.000	41.9	51.0	33.4	45.6
41	351.347	0.000	0.000	0.000	46.9	55.9	36.6	50.8
42	358.734	0.000	0.000	0.000	47.9	56.9	37.7	51.7
43	365.360	0.000	0.000	0.000	48.4	57.4	43.7	52.5
44	372.467	0.000	0.000	0.000	48.2	57.2	38.9	52.1
45	381.590	0.000	0.000	0.000	46.9	55.8	35.1	50.7
46	403.333	0.000	0.000	0.000	47.9	395.7	368.7	51.8
47	410.803	0.000	0.000	0.000	56.6	65.5	47.6	60.5
48	419.722	0.000	0.000	0.000	56.8	65.8	54.0	96.8
49	427.781	0.000	0.000	0.000	48.4	57.3	44.0	52.4
50	434.960	0.000	0.000	0.000	48.3	57.3	42.0	52.3
