Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	9.979	0.000	0.000	0.000	50.9	50.1	24.8	40.6
2	45.744	0.000	0.000	0.000	52.7	51.5	50.4	43.6
3	62.928	0.000	0.000	0.000	49.6	48.7	47.9	38.9
4	73.390	0.000	0.000	0.000	53.9	53.7	53.1	42.5
5	123.662	0.000	0.000	0.000	52.4	52.2	51.6	40.4
6	129.725	0.000	0.000	0.000	52.6	51.9	50.4	41.8
7	426.751	0.000	0.000	0.000	51.8	51.4	50.8	41.1
8	433.851	0.000	0.000	0.000	49.2	48.5	92.9	39.3
9	440.245	0.000	0.000	0.000	52.2	52.0	25.2	39.9
10	446.737	0.000	0.000	0.000	52.2	51.3	49.9	42.0
11	457.180	0.000	0.000	0.000	50.0	49.0	48.0	39.4
12	467.756	0.000	0.000	0.000	52.3	52.4	52.5	39.6
13	474.695	0.000	0.000	0.000	55.0	54.0	52.0	46.4
14	481.855	0.000	0.000	0.000	53.6	53.0	52.0	42.9
15	493.454	0.000	0.000	0.000	55.3	54.2	52.5	243.2
16	493.458	0.000	0.000	0.000	301.0	208.6	212.2	216.8
17	501.710	0.000	0.000	0.000	51.7	51.1	49.6	42.3
18	508.206	0.000	0.000	0.000	57.2	55.8	53.3	48.4
19	508.210	0.000	0.000	0.000	22.6	92.2	70.8	96.1
20	517.306	0.000	0.000	0.000	57.0	55.6	51.7	48.2
21	523.536	0.000	0.000	0.000	52.6	51.7	48.8	50.9
22	529.849	0.000	0.000	0.000	56.0	54.8	30.4	45.1
23	529.852	0.000	0.000	0.000	53.3	87.9	66.7	90.6
24	551.085	0.000	0.000	0.000	53.5	54.7	25.4	40.2
25	557.575	0.000	0.000	0.000	134.8	61.1	58.3	135.8
26	557.578	0.000	0.000	0.000	117.4	213.6	113.9	40.6
27	564.534	0.000	0.000	0.000	51.2	50.2	49.7	41.2
28	931.460	0.000	0.000	0.000	48.7	47.4	23.4	37.1
29	936.522	0.000	0.000	0.000	52.5	51.2	26.6	40.8
30	941.983	0.000	0.000	0.000	59.1	57.7	32.8	47.2
31	947.673	0.000	0.000	0.000	52.1	48.2	99.2	178.3
32	947.676	0.000	0.000	0.000	204.7	357.5	33.4	219.6
33	976.652	0.000	0.000	0.000	52.4	50.8	26.8	41.4
34	980.537	0.000	0.000	0.000	52.4	50.9	26.8	41.5
35	993.446	0.000	0.000	0.000	52.0	50.6	25.9	40.6
36	996.019	0.000	0.000	0.000	18.4	86.2	9.4	406.5
37	997.403	0.000	0.000	0.000	52.1	50.7	26.3	41.2
38	1002.188	0.000	0.000	0.000	52.1	50.8	26.6	41.1
39	1023.467	0.000	0.000	0.000	89.2	172.5	97.6	174.5
40	1038.692	0.000	0.000	0.000	51.1	50.5	24.3	39.0
41	1052.253	0.000	0.000	0.000	51.6	50.7	26.1	40.4
42	1057.668	0.000	0.000	0.000	52.4	51.5	25.8	39.9
43	1064.331	0.000	0.000	0.000	52.3	50.9	26.8	41.2
44	1072.371	0.000	0.000	0.000	51.4	50.5	25.4	39.8
45	1081.113	0.000	0.000	0.000	52.5	52.0	26.1	40.1
46	1101.554	0.000	0.000	0.000	51.6	50.8	25.2	39.0
47	1107.449	0.000	0.000	0.000	51.3	50.2	25.8	40.5
48	1114.656	0.000	0.000	0.000	48.4	47.7	21.7	35.3
49	1125.071	0.000	0.000	0.000	49.0	47.9	23.6	37.8
50	1145.323	0.000	0.000	0.000	48.1	46.8	48.0	33.5
