Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	11.193	0.000	0.000	0.000	58.1	59.0	57.2	48.9
2	23.841	0.000	0.000	0.000	57.8	58.1	56.5	48.4
3	23.843	0.000	0.000	0.000	53.3	18.2	67.2	358.7
4	42.687	0.000	0.000	0.000	56.0	57.5	56.2	44.9
5	49.193	0.000	0.000	0.000	56.3	56.9	55.2	45.7
6	49.196	0.000	0.000	0.000	54.2	49.0	66.4	92.2
7	55.761	0.000	0.000	0.000	56.3	56.6	54.7	45.9
8	55.764	0.000	0.000	0.000	53.5	87.3	64.0	360.0
9	61.954	0.000	0.000	0.000	56.5	57.4	56.3	44.5
10	61.957	0.000	0.000	0.000	52.9	49.5	84.4	357.3
11	69.429	0.000	0.000	0.000	55.2	56.1	54.6	45.0
12	74.928	0.000	0.000	0.000	53.4	53.4	50.6	43.4
13	84.473	0.000	0.000	0.000	53.4	53.8	51.7	43.1
14	89.813	0.000	0.000	0.000	53.3	53.7	51.6	43.0
15	96.217	0.000	0.000	0.000	52.6	52.7	49.9	42.6
16	103.609	0.000	0.000	0.000	53.3	53.4	50.8	43.1
17	109.676	0.000	0.000	0.000	53.3	54.7	53.1	41.5
18	116.602	0.000	0.000	0.000	52.4	51.8	48.5	42.1
19	121.969	0.000	0.000	0.000	52.5	52.0	48.3	42.2
20	128.108	0.000	0.000	0.000	52.5	52.5	49.6	42.5
21	140.310	0.000	0.000	0.000	52.5	52.0	48.5	42.2
22	147.150	0.000	0.000	0.000	49.6	49.1	44.9	39.3
23	159.571	0.000	0.000	0.000	52.4	52.3	361.4	42.3
24	165.462	0.000	0.000	0.000	49.4	48.6	44.4	39.0
25	177.978	0.000	0.000	0.000	49.7	48.7	25.6	38.9
26	184.283	0.000	0.000	0.000	49.2	48.7	44.7	38.8
27	195.074	0.000	0.000	0.000	58.5	57.0	32.4	46.6
28	195.077	0.000	0.000	0.000	60.2	25.9	103.2	45.0
29	202.293	0.000	0.000	0.000	58.5	57.0	32.3	46.3
30	202.296	0.000	0.000	0.000	28.3	27.8	102.9	285.5
31	208.926	0.000	0.000	0.000	59.3	57.9	34.6	48.1
32	216.715	0.000	0.000	0.000	58.6	56.9	32.0	46.2
33	313.823	0.000	0.000	0.000	52.3	52.2	49.0	42.1
34	321.189	0.000	0.000	0.000	52.4	52.3	49.5	42.1
35	326.980	0.000	0.000	0.000	53.1	53.4	50.6	42.5
36	331.986	0.000	0.000	0.000	53.2	53.1	50.4	43.1
37	337.975	0.000	0.000	0.000	53.1	53.1	50.3	42.9
38	343.776	0.000	0.000	0.000	52.5	52.4	49.5	42.3
39	357.557	0.000	0.000	0.000	52.9	52.8	50.7	42.8
40	362.442	0.000	0.000	0.000	52.5	52.3	49.4	42.3
41	367.877	0.000	0.000	0.000	53.2	53.0	50.5	42.9
42	372.936	0.000	0.000	0.000	52.6	52.5	49.8	42.5
43	384.608	0.000	0.000	0.000	53.6	54.0	52.3	42.7
44	389.831	0.000	0.000	0.000	52.5	52.4	266.1	42.5
45	394.820	0.000	0.000	0.000	52.5	52.2	49.4	42.2
46	399.551	0.000	0.000	0.000	52.5	52.4	49.8	42.4
47	404.311	0.000	0.000	0.000	52.7	52.5	49.2	42.3
48	410.001	0.000	0.000	0.000	53.1	53.0	50.5	43.0
49	423.092	0.000	0.000	0.000	52.6	52.6	50.1	42.3
50	429.088	0.000	0.000	0.000	52.5	52.3	49.4	42.4
