Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	3.824	0.000	0.000	0.000	48.3	59.0	237.9	137.5
2	181.839	0.000	0.000	0.000	46.8	55.7	155.1	243.0
3	195.861	0.000	0.000	0.000	50.9	60.8	240.0	140.1
4	201.937	0.000	0.000	0.000	51.0	61.0	240.4	140.3
5	212.718	0.000	0.000	0.000	50.5	60.1	239.2	92.3
6	219.844	0.000	0.000	0.000	50.8	60.6	239.8	140.0
7	226.201	0.000	0.000	0.000	47.8	57.0	41.2	137.3
8	231.101	0.000	0.000	0.000	56.5	65.6	51.7	98.3
9	237.899	0.000	0.000	0.000	50.9	60.3	239.3	92.5
10	245.736	0.000	0.000	0.000	48.4	58.0	237.0	137.6
11	252.174	0.000	0.000	0.000	48.0	57.5	236.5	89.8
12	259.160	0.000	0.000	0.000	48.4	57.9	236.9	90.0
13	265.350	0.000	0.000	0.000	47.8	56.9	41.9	137.3
14	285.724	0.000	0.000	0.000	47.8	56.9	42.0	244.4
15	292.521	0.000	0.000	0.000	48.0	57.1	43.1	244.7
16	299.086	0.000	0.000	0.000	48.1	57.1	43.9	137.6
17	304.983	0.000	0.000	0.000	48.2	57.4	236.0	89.7
18	312.026	0.000	0.000	0.000	47.9	57.0	43.1	244.8
19	322.404	0.000	0.000	0.000	48.1	57.5	236.0	89.6
20	328.045	0.000	0.000	0.000	47.6	56.6	40.1	244.5
21	335.133	0.000	0.000	0.000	47.5	56.6	39.7	244.1
22	341.287	0.000	0.000	0.000	47.7	56.7	38.9	244.5
23	368.325	0.000	0.000	0.000	48.1	57.4	236.2	89.7
24	384.788	0.000	0.000	0.000	47.8	57.0	41.6	137.2
25	392.050	0.000	0.000	0.000	47.5	56.6	40.1	244.2
26	399.777	0.000	0.000	0.000	48.0	57.0	43.2	137.5
27	407.096	0.000	0.000	0.000	47.6	56.6	40.1	244.4
28	414.204	0.000	0.000	0.000	48.1	57.5	236.1	89.7
29	421.242	0.000	0.000	0.000	47.8	56.9	42.6	244.7
30	427.926	0.000	0.000	0.000	47.7	56.8	41.1	244.6
31	438.841	0.000	0.000	0.000	46.9	55.9	162.3	243.5
32	557.000	0.000	0.000	0.000	56.4	65.5	51.5	146.0
33	577.927	0.000	0.000	0.000	48.2	57.8	239.0	89.9
34	586.054	0.000	0.000	0.000	47.6	56.6	40.5	244.4
35	595.824	0.000	0.000	0.000	47.9	57.1	43.2	137.4
36	602.246	0.000	0.000	0.000	47.7	57.0	41.3	244.2
37	616.366	0.000	0.000	0.000	48.2	57.9	102.8	253.2
38	624.528	0.000	0.000	0.000	48.3	57.8	236.6	89.8
39	630.776	0.000	0.000	0.000	48.2	57.8	236.6	89.8
40	635.990	0.000	0.000	0.000	48.2	57.9	236.6	89.7
41	641.852	0.000	0.000	0.000	48.3	57.8	236.4	89.7
42	647.106	0.000	0.000	0.000	48.2	57.9	236.8	89.8
43	652.880	0.000	0.000	0.000	48.3	58.5	237.4	137.5
44	666.367	0.000	0.000	0.000	48.0	57.3	235.9	89.6
45	672.589	0.000	0.000	0.000	48.3	57.8	236.7	89.9
46	677.922	0.000	0.000	0.000	48.1	57.4	236.0	89.7
47	683.215	0.000	0.000	0.000	48.3	57.6	236.1	89.8
48	688.359	0.000	0.000	0.000	48.0	57.4	236.1	89.7
49	701.577	0.000	0.000	0.000	48.1	57.5	236.0	89.7
50	705.990	0.000	0.000	0.000	48.2	57.7	236.2	89.7
