Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	182.209	0.000	0.000	0.000	79.6	57.7	134.9	176.5
2	193.378	0.000	0.000	0.000	79.8	57.6	134.9	176.4
3	200.825	0.000	0.000	0.000	79.4	58.4	134.2	59.4
4	209.383	0.000	0.000	0.000	79.5	57.9	134.6	327.1
5	251.384	0.000	0.000	0.000	78.0	55.3	134.3	175.8
6	257.672	0.000	0.000	0.000	79.1	58.9	133.8	59.6
7	264.162	0.000	0.000	0.000	79.1	58.8	133.9	59.7
8	270.723	0.000	0.000	0.000	79.2	58.5	134.3	59.9
9	276.728	0.000	0.000	0.000	78.9	58.9	133.7	59.4
10	282.529	0.000	0.000	0.000	79.1	58.6	134.2	59.9
11	288.235	0.000	0.000	0.000	184.0	204.9	179.7	210.2
12	288.238	0.000	0.000	0.000	79.4	62.7	132.7	177.1
13	292.986	0.000	0.000	0.000	78.9	58.3	134.3	327.4
14	297.355	0.000	0.000	0.000	79.1	58.3	134.4	327.4
15	302.003	0.000	0.000	0.000	79.1	58.6	134.1	59.8
16	306.794	0.000	0.000	0.000	78.5	59.0	133.5	59.3
17	311.268	0.000	0.000	0.000	78.9	59.1	133.5	59.3
18	316.813	0.000	0.000	0.000	78.5	58.9	133.4	59.1
19	322.596	0.000	0.000	0.000	79.2	58.4	134.1	59.8
20	322.600	0.000	0.000	0.000	24.1	334.9	60.2	324.9
21	337.056	0.000	0.000	0.000	79.0	57.8	134.8	177.0
22	341.648	0.000	0.000	0.000	79.1	58.0	134.5	327.3
23	346.077	0.000	0.000	0.000	79.0	58.6	134.1	327.5
24	350.303	0.000	0.000	0.000	77.8	56.5	138.2	143.3
25	355.795	0.000	0.000	0.000	78.9	58.6	133.9	59.6
26	360.263	0.000	0.000	0.000	79.0	58.5	134.3	327.5
27	365.445	0.000	0.000	0.000	78.9	58.4	134.3	327.5
28	370.459	0.000	0.000	0.000	79.1	58.3	134.4	327.6
29	375.380	0.000	0.000	0.000	78.8	58.4	134.2	327.4
30	389.196	0.000	0.000	0.000	78.8	58.8	133.7	59.4
31	393.641	0.000	0.000	0.000	79.0	58.0	134.5	327.4
32	398.288	0.000	0.000	0.000	78.9	58.7	134.0	59.7
33	403.954	0.000	0.000	0.000	78.5	58.9	133.3	59.1
34	429.633	0.000	0.000	0.000	78.9	58.5	134.4	327.6
35	434.480	0.000	0.000	0.000	79.1	58.5	134.2	327.5
36	438.750	0.000	0.000	0.000	79.3	58.3	134.4	327.3
37	443.161	0.000	0.000	0.000	79.1	58.3	134.4	327.4
38	448.073	0.000	0.000	0.000	78.1	56.9	133.7	176.1
39	454.771	0.000	0.000	0.000	86.2	201.8	141.1	171.6
40	454.774	0.000	0.000	0.000	148.3	377.3	118.3	322.7
41	460.481	0.000	0.000	0.000	79.0	58.1	134.4	327.4
42	464.496	0.000	0.000	0.000	78.0	57.1	133.5	326.5
43	469.398	0.000	0.000	0.000	78.1	59.0	133.7	58.8
44	475.566	0.000	0.000	0.000	78.9	58.8	133.8	59.4
45	480.450	0.000	0.000	0.000	78.9	58.0	134.4	327.5
46	485.750	0.000	0.000	0.000	78.6	58.9	133.9	59.2
47	491.745	0.000	0.000	0.000	78.9	58.8	133.8	59.5
48	501.280	0.000	0.000	0.000	78.7	58.3	134.6	327.3
49	511.325	0.000	0.000	0.000	79.0	57.0	135.1	176.8
50	517.053	0.000	0.000	0.000	78.8	58.4	134.2	327.5
51	522.544	0.000	0.000	0.000	79.0	58.4	134.3	327.5
