Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	63.388	0.000	0.000	0.000	83.3	29.1	172.6	57.1
2	74.940	0.000	0.000	0.000	83.3	29.1	172.7	57.2
3	80.883	0.000	0.000	0.000	82.8	28.8	172.4	56.8
4	207.606	0.000	0.000	0.000	83.4	29.2	173.1	57.3
5	213.785	0.000	0.000	0.000	82.9	28.7	172.2	56.8
6	268.723	0.000	0.000	0.000	83.1	28.6	171.8	56.8
7	276.308	0.000	0.000	0.000	83.4	29.1	172.6	57.1
8	286.420	0.000	0.000	0.000	83.2	65.7	169.4	53.9
9	292.089	0.000	0.000	0.000	81.8	63.0	167.7	53.0
10	299.880	0.000	0.000	0.000	83.4	65.8	248.1	54.1
11	305.638	0.000	0.000	0.000	82.2	63.5	168.3	54.1
12	311.241	0.000	0.000	0.000	84.6	29.4	171.2	57.7
13	316.038	0.000	0.000	0.000	82.3	66.5	169.6	53.6
14	321.122	0.000	0.000	0.000	82.5	65.7	169.5	54.1
15	325.989	0.000	0.000	0.000	82.2	65.4	168.8	53.4
16	330.896	0.000	0.000	0.000	82.3	65.8	169.4	53.7
17	335.580	0.000	0.000	0.000	83.1	66.0	169.8	54.6
18	342.562	0.000	0.000	0.000	84.1	29.2	171.0	57.0
19	351.107	0.000	0.000	0.000	86.7	32.9	175.4	59.4
20	358.596	0.000	0.000	0.000	84.2	29.9	171.9	58.0
21	364.738	0.000	0.000	0.000	85.6	32.7	175.9	58.0
22	364.742	0.000	0.000	0.000	224.2	95.4	276.3	74.6
23	372.131	0.000	0.000	0.000	83.9	28.7	170.2	58.0
24	377.377	0.000	0.000	0.000	85.0	30.2	171.7	58.4
25	382.726	0.000	0.000	0.000	84.5	29.9	171.3	58.3
26	388.739	0.000	0.000	0.000	134.6	29.5	221.8	110.7
27	388.742	0.000	0.000	0.000	400.3	154.2	251.3	44.4
28	396.002	0.000	0.000	0.000	84.3	29.6	170.8	57.9
29	402.238	0.000	0.000	0.000	82.5	65.8	169.8	54.7
30	407.278	0.000	0.000	0.000	83.1	65.9	169.8	54.8
31	414.086	0.000	0.000	0.000	84.0	69.7	172.2	57.3
32	414.089	0.000	0.000	0.000	282.1	269.3	265.5	197.1
33	420.473	0.000	0.000	0.000	84.0	69.6	172.8	56.2
34	430.131	0.000	0.000	0.000	85.9	33.4	176.5	58.0
35	430.134	0.000	0.000	0.000	353.8	120.6	182.1	308.5
36	434.676	0.000	0.000	0.000	85.7	31.4	173.6	58.9
37	439.797	0.000	0.000	0.000	86.1	32.8	175.8	58.7
38	444.742	0.000	0.000	0.000	84.4	29.2	170.6	57.5
39	449.969	0.000	0.000	0.000	83.1	65.4	169.8	55.1
40	454.738	0.000	0.000	0.000	83.1	66.1	170.3	54.1
41	459.722	0.000	0.000	0.000	83.4	62.4	169.0	56.6
42	464.723	0.000	0.000	0.000	181.6	57.5	168.5	123.9
43	464.726	0.000	0.000	0.000	273.0	215.8	385.6	74.4
44	470.617	0.000	0.000	0.000	83.9	28.8	169.8	57.3
45	475.374	0.000	0.000	0.000	81.6	67.0	169.4	53.2
46	480.357	0.000	0.000	0.000	336.3	27.2	168.3	55.6
47	480.361	0.000	0.000	0.000	29.1	343.4	161.1	37.7
48	486.145	0.000	0.000	0.000	82.3	69.3	171.3	53.7
49	497.657	0.000	0.000	0.000	219.2	268.8	394.8	201.0
50	497.659	0.000	0.000	0.000	230.8	129.1	365.8	169.7
51	503.420	0.000	0.000	0.000	85.6	30.9	172.9	58.1
52	510.284	0.000	0.000	0.000	86.7	33.1	176.0	58.6
